date,l2jbl,主力净额,净流入额
2010-01-04,-0.011617775938910184,-28790.390000000007,-66517.42
2010-01-05,0.03102379895074919,77608.33000000006,111234.2
2010-01-06,-0.03834829321895335,-94653.99000000002,-44557.67
2010-01-07,-0.05455765800219101,-131781.79,-136103.52
2010-01-08,-0.03139597608550973,-76021.46000000002,-62739.92
2010-01-11,-0.06524575392236406,-159533.51,-178985.28
2010-01-12,-0.04264604274292301,-105089.32000000002,-74022.1
2010-01-13,-0.1884544511032034,-442773.28,-236312.06
2010-01-14,-0.05257421301254539,-124343.12000000001,-62815.25
2010-01-15,-0.03520100868292992,-83158.66,-73117.68
2010-01-18,-0.1260839206317539,-296422.14,-187899.95
2010-01-19,-0.04334076027752392,-101835.55000000002,-41496.86
2010-01-20,-0.14180129677832495,-314978.87,-267707.48
2010-01-21,-0.03302359241693039,-76596.60999999999,-40390.27
2010-01-22,-0.03485679558109756,-81448.85999999999,-63936.27999999999
2010-01-25,-0.00046863180906888926,-1085.9500000000007,-76664.95
2010-01-26,-0.03645887913947514,-83560.25,-118670.67
2010-01-27,-0.03667469777751979,-82359.56999999999,-101463.12
2010-01-28,-0.021667829956804965,-48362.67,-51447.28999999999
2010-01-29,-0.02410787225082958,-53647.2,-42823.81
2010-02-01,-0.028911806861607495,-63711.90999999999,-79841.31
2010-02-02,0.027516315604421426,60755.39,-58286.4
2010-02-03,0.05103657286280865,115732.65000000002,113467.99
2010-02-04,-0.007687736736658476,-17318.239999999998,-71860.28
2010-02-05,-0.0192274699353661,-43413.929999999986,-70378.09999999999
2010-02-08,-0.008835175029651572,-19859.059999999994,-19212.08
2010-02-09,-0.002149995410954005,-4866.090000000002,-28722.56
2010-02-10,0.014193576151680782,32442.79000000001,-1688.4099999999999
2010-02-11,0.0037752000019118975,8629.27,-3794.4
2010-02-12,-0.0007259037216403898,-1674.0599999999995,-996.6300000000003
2010-02-22,-0.009042694188688919,-20707.510000000002,-38221.14
2010-02-23,-0.06987465912272808,-156891.78000000006,-54988.25
2010-02-24,-0.02609930211504898,-58789.57999999998,-17429.37
2010-02-25,0.010582719590926515,24133.669999999995,14794.83
2010-02-26,-0.004620890025460101,-10517.229999999992,-48374.78
2010-03-01,0.021848240389780855,51289.66000000001,30934.25
2010-03-02,0.0015146133066945493,3553.070000000007,-83047.96
2010-03-03,-0.006843616311221291,-16097.740000000013,-47594.31
2010-03-04,-0.030717869039336838,-68828.05000000003,-133759.33
2010-03-05,-0.010182564628235066,-20937.109999999993,-25436.969999999998
2010-03-08,-0.005367699964826187,-11095.549999999997,-17671.89
2010-03-09,0.02613253519512558,54568.28999999997,37359.78
2010-03-10,0.011871536138581208,24680.509999999995,-41183.43
2010-03-11,0.0072892169158154,15214.460000000003,8550.269999999995
2010-03-12,-0.0004772339783563511,-987.5799999999517,-60079.78
2010-03-15,-0.02876931946485134,-65647.05999999998,-75939.08
2010-03-16,0.007058239297233261,16202.889999999996,3224.2800000000025
2010-03-17,0.038028347315788115,88846.77,90746.87
2010-03-18,-0.016481514201726305,-38252.47999999998,-84342.56
2010-03-19,0.004539252134606839,10701.75,-16798.49
2010-03-22,-0.009690809500902358,-22886.209999999992,-20736.6
2010-03-23,-0.027011260929684908,-63359.19,-96210.47
2010-03-24,-0.00902677412379491,-21262.78999999999,-39193.26
2010-03-25,-0.024932019393644006,-58288.10000000001,-93707.09
2010-03-26,0.014422497486155119,31518.74000000002,21365.05
2010-03-29,0.06100801923044258,148164.06000000003,163853.8
2010-03-30,0.007125853953522617,17321.320000000007,-15407.190000000002
2010-03-31,-0.01704598976010388,-41190.53,-66724.33
2010-04-01,0.0015698265828950318,3826.5500000000093,23345.7
2010-04-02,-0.020265117509361913,-49192.37,-87837.0
2010-04-06,-0.007907056259255606,-19174.37000000001,-43654.94
2010-04-07,-0.030520014319494044,-73729.42000000001,-57152.18
2010-04-08,-0.11713719320902065,-133723.58000000002,-143372.6
2010-04-09,-0.015787000357279656,-37897.17000000003,-19665.68
2010-04-12,-0.03887111320787769,-92109.35000000005,-134186.05
2010-04-13,0.018285392794830393,44126.279999999984,43077.0
2010-04-14,0.006506071217974071,15651.970000000014,-35288.43
2010-04-15,-0.019119673348415196,-45982.69,-63521.009999999995
2010-04-16,-0.0395231770901453,-86215.24000000002,-104426.82
2010-04-19,-0.12476265559887047,-259042.65,-248292.58
2010-04-20,-0.024377023036832188,-50278.52999999997,-38863.7
2010-04-21,0.03606834733336899,75464.95999999999,61437.130000000005
2010-04-22,-0.0178773159825407,-36814.1,-62820.15
2010-04-23,-0.041010586214115116,-83842.12999999998,-99669.1
2010-04-26,-0.009395644794798461,-19014.619999999984,-56836.08
2010-04-27,-0.03965277296393409,-78998.79,-128815.0
2010-04-28,-0.017244693002017586,-34348.72000000001,-25556.08
2010-04-29,0.00031726954227702376,633.1900000000169,-31404.34
2010-04-30,-0.0013067343578723129,-2638.869999999967,26020.45
2010-05-04,-0.02684361841038181,-58148.41999999997,2053.180000000001
2010-05-05,-0.0537681584959089,-115976.2300000001,-76754.38
2010-05-06,-0.08014601912599638,-166692.24999999997,-213457.72
2010-05-07,-8.057571465045896e-05,-167.36000000001923,-53950.25
2010-05-10,0.004978607019533902,10491.479999999967,3953.850000000002
2010-05-11,-0.022870884508757565,-47662.159999999996,-108614.19
2010-05-12,0.02517670126513586,53771.85000000001,96441.09000000001
2010-05-13,0.040205274956179614,86923.23000000004,41682.659999999996
2010-05-14,-0.014559179556230617,-31109.67999999999,-61693.899999999994
2010-05-17,-0.04950503865211118,-101659.33,-139964.48
2010-05-18,0.02686353329962198,26101.94000000001,76179.81
2010-05-19,-0.003351041150829825,-6925.480000000002,-37179.31
2010-05-20,-0.025593283281730845,-52667.25000000001,-84843.16
2010-05-21,0.008006802181452707,16646.09999999999,15834.24
2010-05-24,0.026644492119251878,56813.44,44484.68
2010-05-25,-0.033268930539883064,-63539.89000000001,-102191.52
2010-05-26,-0.017059779566559633,-33471.649999999994,-33747.49
2010-05-27,0.014481466888269009,26186.90000000001,22694.9
2010-05-28,-0.021035706626948744,-37710.47,-36095.19
2010-05-31,-0.026884103608170163,-50594.850000000006,-68263.76000000001
2010-06-01,-0.0017675542199125831,-3311.730000000006,-45146.869999999995
2010-06-02,-0.011605369710650413,-23153.350000000002,-30595.329999999998
2010-06-03,0.013756088122695152,27443.679999999986,-12392.34
2010-06-04,-0.001572733373707132,-3143.6299999999883,-5350.89
2010-06-07,-0.02325887117632368,-45492.26,-68023.84
2010-06-08,-0.02360024008461653,-46400.500000000015,-57245.42
2010-06-09,-0.0009976192346754641,-2016.6099999999788,34829.39
2010-06-10,-0.020347774206510478,-40430.37,-42240.369999999995
2010-06-11,0.004341667058847575,8671.339999999993,5934.889999999999
2010-06-17,-0.00027354235491870954,-514.099999999994,-14765.2
2010-06-18,0.004228045664435197,8415.409999999985,-35926.43
2010-06-21,0.06200038288860343,127359.41000000005,130124.02
2010-06-22,-0.0072236045864576244,-14803.120000000006,-12963.1
2010-06-23,-0.015010966060353723,-27040.659999999993,-34062.33
2010-06-24,0.003925900974044437,7838.199999999998,4075.010000000001
2010-06-25,0.004879845626467446,9962.329999999989,-1704.9999999999998
2010-06-28,-0.0020247502323276385,-3992.959999999981,2765.3900000000003
2010-06-29,-0.03589741263920978,-62583.23000000001,-61898.950000000004
2010-06-30,-9.164807614010502e-05,-158.0600000000095,-7162.41
2010-07-01,-0.012253542268347638,-20944.429999999997,-34881.71
2010-07-02,-0.010509731028818095,-18076.55999999998,15741.900000000001
