ts_code,name,bao_code
603288.SH,海天味业,sh.603288
603296.SH,华勤技术,sh.603296
603369.SH,今世缘,sh.603369
603392.SH,万泰生物,sh.603392
603501.SH,豪威集团,sh.603501
603799.SH,华友钴业,sh.603799
603893.SH,瑞芯微,sh.603893
603986.SH,兆易创新,sh.603986
603993.SH,洛阳钼业,sh.603993
605117.SH,德业股份,sh.605117
605499.SH,东鹏饮料,sh.605499
688008.SH,澜起科技,sh.688008
688009.SH,中国通号,sh.688009
688012.SH,中微公司,sh.688012
688036.SH,传音控股,sh.688036
688041.SH,海光信息,sh.688041
688047.SH,龙芯中科,sh.688047
688072.SH,拓荆科技,sh.688072
688082.SH,盛美上海,sh.688082
688111.SH,金山办公,sh.688111
688126.SH,沪硅产业,sh.688126
688183.SH,生益电子,sh.688183
688223.SH,晶科能源,sh.688223
688256.SH,寒武纪,sh.688256
688271.SH,联影医疗,sh.688271
688303.SH,大全能源,sh.688303
688396.SH,华润微,sh.688396
688472.SH,阿特斯,sh.688472
688506.SH,百利天恒,sh.688506
688521.SH,芯原股份,sh.688521
688981.SH,中芯国际,sh.688981
000001.SZ,平安银行,sz.000001
000002.SZ,万科A,sz.000002
000063.SZ,中兴通讯,sz.000063
000100.SZ,TCL科技,sz.000100
000157.SZ,中联重科,sz.000157
000166.SZ,申万宏源,sz.000166
000301.SZ,东方盛虹,sz.000301
000333.SZ,美的集团,sz.000333
000338.SZ,潍柴动力,sz.000338
000408.SZ,藏格矿业,sz.000408
000425.SZ,徐工机械,sz.000425
000538.SZ,云南白药,sz.000538
000568.SZ,泸州老窖,sz.000568
000596.SZ,古井贡酒,sz.000596
000617.SZ,中油资本,sz.000617
000625.SZ,长安汽车,sz.000625
000630.SZ,铜陵有色,sz.000630
000651.SZ,格力电器,sz.000651
000657.SZ,中钨高新,sz.000657
000708.SZ,中信特钢,sz.000708
000725.SZ,京东方A,sz.000725
000768.SZ,中航西飞,sz.000768
000776.SZ,广发证券,sz.000776
000792.SZ,盐湖股份,sz.000792
000807.SZ,云铝股份,sz.000807
000858.SZ,五粮液,sz.000858
000895.SZ,双汇发展,sz.000895
000938.SZ,紫光股份,sz.000938
000963.SZ,华东医药,sz.000963
000975.SZ,山金国际,sz.000975
000977.SZ,浪潮信息,sz.000977
000988.SZ,华工科技,sz.000988
000999.SZ,华润三九,sz.000999
001280.SZ,中国铀业,sz.001280
001391.SZ,国货航,sz.001391
