date,strategy_ret,benchmark_ret,excess_ret,n_hold,satellite_w,turnover,sat_ret,heat,nav,bench,excess_nav
2024-09-02,0.0,0.0,0.0,26,0.3,0.0,-0.0020234449594993802,0,1.0,1.0,1.0
2024-09-03,0.0027053080225433635,0.0025780005029079067,0.00012730751963545674,26,0.3,0.0,0.003002358901692763,0,1.0027053080225434,1.002578000502908,1.000126980164707
2024-09-04,-0.0059146590176516025,-0.006495728239892196,0.0005810692222405931,25,0.3,0.011538461538461645,-0.004547292370885092,0,0.9967746480304007,0.9960655262723466,1.0007119227996053
2024-09-05,0.0009924604393163762,0.0017197467446989911,-0.000727286305382615,25,0.3,0.0,-0.0007045409399097255,0,0.9977639074354844,0.9977785067186603,0.9999853682124062
2024-09-06,-0.007545804888878445,-0.008107447398330248,0.0005616425094518021,25,0.3,0.0,-0.006235305700157574,0,0.9902349756648112,0.9896890699602543,1.0005515931428635
2024-09-09,-0.012476459427589216,-0.01188176802005425,-0.0005946914075349655,25,0.3,0.0,-0.01386407271183747,0,0.9778803491671494,0.9779298140190034,0.9999494188119179
2024-09-10,0.001519816525655291,0.0008780590347814421,0.0006417574908738489,24,0.3,0.011999999999999985,0.0030292506710276057,0,0.9793665478819272,0.9787884941275848,1.0005905808638031
2024-09-11,-0.005347750083239117,-0.0030119015373893943,-0.002335848545849723,24,0.3,0.0,-0.010798063356888472,0,0.9741291403439701,0.9758404795573429,0.9982462920433993
2024-09-12,-0.002380810572354684,-0.004285826513225288,0.001905015940870604,24,0.3,0.0,0.0020642266230100578,0,0.9718099233878004,0.9716581965573775,1.0001561524731233
2024-09-13,-0.00196489944919623,-0.004169521036684776,0.0022046215874885456,22,0.3,0.025,0.003204217588277042,0,0.9699004146046123,0.9676068472663644,1.0023703504628223
2024-09-18,0.005986750060359159,0.003723418903301967,0.0022633311570571923,22,0.3,0.0,0.01126785609349261,0,0.9757069659702888,0.9712096528924403,1.0046306305383752
2024-09-19,0.004785479933447507,0.007891964522851236,-0.0031064845894037286,22,0.3,0.0,-0.002462984108494523,0,0.9803761920768645,0.9788744050173181,1.0015341979030699
2024-09-20,0.0026097423742668944,0.0015688185210196437,0.0010409238532472507,22,0.3,0.0,0.00503856469851048,0,0.9829347213680499,0.9804100813136614,1.0025750857753377
2024-09-23,0.005021880540759189,0.0036594870738808627,0.0013623934668783267,22,0.3,0.0,0.008200798630141953,0,0.9878709021181247,0.9839978793333312,1.0039360072477164
2024-09-24,0.041546045667924726,0.04331009197407876,-0.001764046306154031,22,0.3,0.0,0.03742993762023199,0,1.0289130317315383,1.0266149179895563,1.0022385353083338
2024-09-25,0.014425114677421294,0.014804697860234306,-0.0003795831828130123,22,0.12,0.1800000000000001,0.012091504670125866,1,1.0437552202073588,1.041813641669201,1.0018636524427218
2024-09-26,0.040715972938822446,0.04227135235789281,-0.0015553794190703643,21,0.12,0.005454545454545505,0.029323493562609413,1,1.0862527295080762,1.0858525132074592,1.0003685733520427
