month,strategy,benchmark,excess
2024-09,0.2229798923764712,0.23057916190787697,-0.007599269531405772
2024-10,-0.037701851234124395,-0.03156284031689116,-0.006139010917233234
2024-11,0.006994213336685151,0.006564723730902111,0.00042948960578303996
2024-12,0.01094457156819817,0.004679512489355497,0.006265059078842672
2025-01,-0.024805604099563117,-0.0299449474192669,0.005139343319703782
2025-02,0.01434559897120491,0.019116313039480026,-0.004770714068275117
2025-03,0.0052690327841200535,-0.0007051582670415391,0.0059741910511615925
2025-04,-0.029659336024138394,-0.030029823227687213,0.00037048720354881937
2025-05,0.020928518774400606,0.018475135261362352,0.002453383513038254
2025-06,0.026371016919980006,0.024958594301704107,0.0014124226182758992
2025-07,0.02172108247933635,0.03544443504704953,-0.013723352567713176
2025-08,0.09001330322751544,0.10333909347924863,-0.013325790251733194
2025-09,0.02433954123150106,0.03200847472571988,-0.007668933494218821
2025-10,0.003922966851787946,-5.5810623993401975e-06,0.003928547914187286
2025-11,-0.02539035989245131,-0.02456672397738613,-0.0008236359150651795
2025-12,0.02850777767510415,0.022815467363410002,0.005692310311694149
2026-01,0.02785425288319665,0.016501425126613345,0.011352827756583306
2026-02,0.018093422277702498,0.0009151059864966893,0.01717831629120581
2026-03,-0.06487881342569635,-0.05532097937546521,-0.00955783405023114
2026-04,0.07635653001939491,0.08028171732838985,-0.003925187308994937
2026-05,0.015560425849448167,0.0176428095322978,-0.002082383682849631
2026-06,0.013498779629359747,0.017847370219540526,-0.004348590590180779
2026-07,-0.0906720596868903,-0.07857039460397963,-0.012101665082910662
2026-08,0.04204335387664804,0.03332492189524228,0.008718431981405761
