month,strategy,benchmark,excess
2024-09,0.22775636971522384,0.23057916190787697,-0.002822792192653134
2024-10,-0.02693118996219046,-0.03156284031689116,0.0046316503547007
2024-11,0.00643973104545692,0.006564723730902111,-0.00012499268544519104
2024-12,0.00879636741435963,0.004679512489355497,0.004116854925004132
2025-01,-0.027231901282927184,-0.0299449474192669,0.002713046136339714
2025-02,0.012874040603837678,0.019116313039480026,-0.006242272435642349
2025-03,-0.00408477719411815,-0.0007051582670415391,-0.003379618927076611
2025-04,-0.027148082776784266,-0.030029823227687213,0.0028817404509029476
2025-05,0.01763032992349678,0.018475135261362352,-0.0008448053378655729
2025-06,0.029766376456357158,0.024958594301704107,0.004807782154653051
2025-07,0.04725573527920046,0.03544443504704953,0.011811300232150934
2025-08,0.11261463997275367,0.10333909347924863,0.009275546493505038
2025-09,0.03959218520688257,0.03200847472571988,0.0075837104811626865
2025-10,-0.0025676427199661234,-5.5810623993401975e-06,-0.002562061657566783
2025-11,-0.031321985993506773,-0.02456672397738613,-0.0067552620161206445
2025-12,0.02502686293002032,0.022815467363410002,0.002211395566610319
2026-01,0.029194434932309,0.016501425126613345,0.012693009805695654
2026-02,0.009637956043387685,0.0009151059864966893,0.008722850056890996
2026-03,-0.06502995288163593,-0.05532097937546521,-0.009708973506170726
2026-04,0.07318176866660298,0.08028171732838985,-0.00709994866178687
2026-05,0.011894778880108037,0.0176428095322978,-0.005748030652189762
2026-06,0.0080648574759552,0.017847370219540526,-0.009782512743585325
2026-07,-0.055661013485520994,-0.07857039460397963,0.022909381118458638
2026-08,0.0022866010013067317,0.0001086919375385964,0.0021779090637681353
