,nav_long,nav_rest,nav_hs300,rel_vs_rest_pct,rel_vs_hs300_pct
2010-07-01,1.0,1.0,1.0,0.0,0.0
2010-07-02,1.0072071087234906,0.9946277600162197,1.0031804331707226,1.264729300041445,0.40139095815905357
2010-07-05,1.0009120642939688,0.987763393076065,0.9946874018980465,1.3311559539533668,0.6257908146865665
2010-07-06,1.005859201832186,1.0104913590305673,1.0145803502751902,-0.45840641357144385,-0.8595818399832811
2010-07-07,1.000935724443891,1.0227680944114466,1.0215377952559528,-2.1346354160684866,-2.016770295503345
2010-07-08,1.0004877683371705,1.020246546943607,1.0197342038287918,-1.9366670404941555,-1.8873972667933225
2010-07-09,1.0160926320362145,1.0492432073074869,1.04791353845557,-3.1594748520070604,-3.0365965560721353
2010-07-12,1.0310960891092795,1.0568017911961827,1.059438946886291,-2.4324052344581237,-2.6752705156169343
2010-07-13,1.0310960891092795,1.0433182650087047,1.042960787721327,-1.1714714780080349,-1.13759776510578
2010-07-14,1.0310960891092795,1.0504901542919218,1.0504886838097585,-1.8461919993638443,-1.8460546029062108
2010-07-15,1.0310960891092795,1.0294300924474649,1.0326388292332243,0.1618367943619914,-0.14939784174978765
2010-07-16,1.0310960891092795,1.0330511567160443,1.0356510169349953,-0.18925177074287092,-0.43981300179630756
2010-07-19,1.0310960891092795,1.0578141909502312,1.0619147284458752,-2.5257840242198792,-2.90217646587303
2010-07-20,1.0310960891092795,1.085665913504415,1.0852834302757128,-5.026391979001154,-4.992920711289884
2010-07-21,1.0310960891092795,1.0890263929206419,1.0875921539814202,-5.319458204864991,-5.1946002612580315
2010-07-22,1.0310960891092795,1.102317786605303,1.101032393784656,-6.46108575598311,-6.351884383254114
2010-07-23,1.0310960891092795,1.1061501718267233,1.1056997210292188,-6.785162144259093,-6.747187369324459
2010-07-26,1.0310960891092795,1.1178738831947594,1.1128170981734082,-7.7627535082471555,-7.343615514019919
2010-07-27,1.0310960891092795,1.1148485779886166,1.1067479892687102,-7.512454205255503,-6.8355127719200155
2010-07-28,1.0310960891092795,1.1386556082248487,1.1336672643009638,-9.446185338098257,-9.047731942311232
2010-07-29,1.0310960891092795,1.1457876515792667,1.139309227650371,-10.009844521531107,-9.498135880481051
2010-07-30,1.0310960891092795,1.143367224404045,1.1356949191055992,-9.8193417563884,-9.210116928117895
2010-08-02,1.0310960891092795,1.1627819876722574,1.1548665892605554,-11.325072108022283,-10.717298543594056
2010-08-03,1.0310960891092795,1.1432173553107354,1.1345567879921032,-9.807519600765724,-9.119041019174068
2010-08-04,1.0310960891092795,1.151011729158571,1.1386987935018456,-10.418281326894386,-9.449619601479942
2010-08-05,1.0310960891092795,1.1482159286069729,1.1285624988371272,-10.200158052134345,-8.6363324874145
2010-08-06,1.0310960891092795,1.1688518895871096,1.1471011701571336,-11.785565109236519,-10.11289013260821
2010-08-09,1.0310960891092795,1.1813576962266663,1.15524900131469,-12.71939968710003,-10.74685302165358
2010-08-10,1.0310960891092795,1.1442253905564392,1.1213611968943076,-9.886977022258236,-8.049601505297666
2010-08-11,1.0310960891092795,1.154691489174342,1.1283178501316868,-10.703759508389465,-8.616522464043308
2010-08-12,1.0310960891092795,1.1428265956322619,1.114927490161599,-9.776680639915291,-7.5190002750913365
2010-08-13,1.0310960891092795,1.1607816852856987,1.1304302214783357,-11.172264157880829,-8.787285626453844
2010-08-16,1.0310960891092795,1.1862348845907003,1.1567699403540126,-13.078252671261648,-10.864204442092639
2010-08-17,1.0310960891092795,1.194416564115966,1.1647697154988916,-13.673661259676717,-11.476399550134019
2010-08-18,1.0310960891092795,1.1939228587016264,1.1628184639307448,-13.637963994543046,-11.3278537370482
2010-08-19,1.0310960891092795,1.197308479861358,1.1699572181462836,-13.88216934463915,-11.868906561986936
2010-08-20,1.0310960891092795,1.1736344177869846,1.1473679876773064,-12.145036522231223,-10.13379315239602
2010-08-23,1.0310960891092795,1.1759912984282002,1.146520426385482,-12.32111236814285,-10.067359867288983
2010-08-24,1.0310960891092795,1.1842000773882397,1.1527098802844422,-12.9288953110552,-10.550251477427553
2010-08-25,1.0310960891092795,1.1597869434800534,1.1254723244121014,-11.096077179884823,-8.385478101571264
2010-08-26,1.0310960891092795,1.1660553918938004,1.1282711372720724,-11.574004436044182,-8.612738990890268
2010-08-27,1.0310960891092795,1.1726437895364272,1.1316253581154294,-12.070818239109482,-8.883617558161472
2010-08-30,1.0310960891092795,1.19973630338904,1.1539699398789667,-14.056440052983488,-10.64792474425934
2010-08-31,1.0310960891092795,1.2011838100878665,1.1492899447402711,-14.160007781502237,-10.284076370101914
2010-09-01,1.0310960891092795,1.1866279282284826,1.1417105853319252,-13.107043532288731,-9.68848827748121
2010-09-02,1.0310960891092795,1.2048779187386258,1.1564967888867739,-14.423189845762685,-10.843151574869758
2010-09-03,1.0310960891092795,1.2141025345216108,1.1560264933170927,-15.073392914416473,-10.80688071856718
2010-09-06,1.0310960891092795,1.222629896355751,1.1777539111133464,-15.665722539369387,-12.452331562663144
2010-09-07,1.0310960891092795,1.2265371910722984,1.1809280103370023,-15.934380415497618,-12.687642253905484
2010-09-08,1.0310960891092795,1.2346791123839553,1.180080449045178,-16.488739562588993,-12.624932482903528
2010-09-09,1.0310960891092795,1.22009759812056,1.1585026707483683,-15.490687736982567,-10.997521616138084
2010-09-10,1.0310960891092795,1.2281987063625228,1.160915112837288,-16.048104938734987,-11.182473403307636
2010-09-13,1.0310960891092795,1.2461013561634626,1.1726982337392737,-17.254235860568222,-12.07490047789026
2010-09-14,1.0310960891092795,1.2502791658551906,1.1737631285898145,-17.530730954473672,-12.1546703935008
2010-09-15,1.0310960891092795,1.2245880640905435,1.1532510368869289,-15.800576590215531,-10.592225271905487
2010-09-16,1.0310960891092795,1.2008058032646396,1.131317765811017,-14.132985841171742,-8.858844060482928
2010-09-17,1.0310960891092795,1.2019180079718206,1.1327349864671268,-14.21244358846032,-8.972875259626933
2010-09-20,1.0310960891092795,1.204511407269252,1.128166231273785,-14.397150339416243,-8.604241066044494
2010-09-21,1.0310960891092795,1.2058797318078314,1.1311938579715302,-14.49428480206062,-8.848860710908301
2010-09-27,1.0310960891092795,1.2327818119636968,1.1500187445246002,-16.360212399074282,-10.340931917982033
