date,entry,hs300_entry,bars_10,mfe_10,mae_10,ret_10,hs300_mfe_10,hs300_mae_10,hs300_ret_10,excess_mfe_10,excess_mae_10,excess_ret_10,rel_mfe_10,rel_mae_10,efficiency_10,bars_20,mfe_20,mae_20,ret_20,hs300_mfe_20,hs300_mae_20,hs300_ret_20,excess_mfe_20,excess_mae_20,excess_ret_20,rel_mfe_20,rel_mae_20,efficiency_20,bars_60,mfe_60,mae_60,ret_60,hs300_mfe_60,hs300_mae_60,hs300_ret_60,excess_mfe_60,excess_mae_60,excess_ret_60,rel_mfe_60,rel_mae_60,efficiency_60,ts_code,name,l2_flow,env_level,rating_kind,quality,is_low_value
2017-10-18,6.58038293,3944.162,10,0.05663189269746649,-0.008941877794336861,0.0432190760059612,0.022609872515378493,-0.00861146169959548,0.013300670712815599,0.034022020182088,-0.00033041609474138145,0.0299184052931456,0.029525693762838756,-0.005013758640427302,6.3333333333333,20,0.05663189269746649,-0.008941877794336861,0.016393442622950838,0.04905554082210628,-0.00861146169959548,0.03283511174236753,0.00757635187536021,-0.00033041609474138145,-0.01644166911941669,0.029525693762838756,-0.04170346029854077,6.3333333333333,60,0.3189269746646797,-0.008941877794336861,0.2309985096870344,0.0802393512234032,-0.00861146169959548,0.06628125315339495,0.23868762344127648,-0.00033041609474138145,0.16471725653363944,0.21381088609818533,-0.04170346029854077,35.66666666666648,600115.SH,中国东航,0.0961860650986513,2,subjective/semi-quantitative,low_value,1
2021-07-07,5.0,5140.4899,10,0.020000000000000018,-0.051999999999999935,-0.0039999999999998925,0.0039013402205110292,-0.026082805843077206,0.0006911598056054125,0.01609865977948899,-0.02591719415692273,-0.004691159805605305,0.016226422927362538,-0.04204481577717378,0.3846153846153854,20,0.020000000000000018,-0.15399999999999991,-0.11999999999999988,0.005976025748051894,-0.09271275875865448,-0.03144486287192194,0.014023974251948124,-0.061287241241345436,-0.08855513712807794,0.04296060133272639,-0.09143014551619455,0.12987012987013005,60,0.04400000000000004,-0.15399999999999991,-0.019999999999999907,0.005976025748051894,-0.09271275875865448,-0.04095893661808381,0.038023974251948145,-0.061287241241345436,0.0209589366180839,0.04464404531875199,-0.10097580086882252,0.28571428571428614,600115.SH,中国东航,0.0049977133666982,2,subjective/semi-quantitative,low_value,1
2022-09-06,4.91,4052.2802,10,0.050916496945010215,-0.008146639511201648,0.008146639511201537,0.018713192636580223,-0.04147131780275215,-0.03665723806562038,0.03220330430842999,0.0333246782915505,0.044803877576821916,0.05265052436466311,-0.0006665379361640023,6.249999999999989,20,0.06109979633401208,-0.03258655804480659,-0.010183299389001976,0.018713192636580223,-0.09642835162287144,-0.06612913884878946,0.04238660369743186,0.06384179357806485,0.05594583945978748,0.10366046714635946,-0.0006665379361640023,1.8749999999999916,60,0.185336048879837,-0.048879837067209775,0.15274949083503064,0.018713192636580223,-0.13728796444036628,-0.023157159764026214,0.1666228562432568,0.08840812737315651,0.17590665059905686,0.18303062150352845,-0.0006665379361640023,3.7916666666666656,600115.SH,中国东航,0.0327578679506116,2,subjective/semi-quantitative,neutral,0
2023-04-03,5.39,4090.5676,10,0.04267161410018572,-0.02597402597402587,0.012987012987013102,0.01933721862951243,-0.00757674802880659,0.01747053391808029,0.023334395470673286,-0.01839727794521928,-0.004483520931067186,0.015440547858191156,-0.01831031167717223,1.6428571428571566,20,0.04267161410018572,-0.06493506493506485,-0.05751391465677169,0.01933721862951243,-0.04036887203624251,-0.018014663784067575,0.023334395470673286,-0.024566192898822337,-0.03949925087270412,0.015440547858191156,-0.045290829702460456,0.6571428571428609,60,0.04267161410018572,-0.15584415584415579,-0.05751391465677169,0.01933721862951243,-0.07646674754867755,-0.04682829346225692,0.023334395470673286,-0.07937740829547824,-0.010685621194514772,0.015440547858191156,-0.08894792385727279,0.2738095238095251,600115.SH,中国东航,-0.0411000018206433,2,subjective/semi-quantitative,low_value,1
2024-07-11,3.93,3468.169,10,0.040712468193384144,-0.025445292620865145,0.0025445292620864812,0.022250732302837584,-0.02432692870503128,-0.019865640918882543,0.01846173589054656,-0.0011183639158338643,0.022410170180969025,0.023617188574678094,-0.012478150651806685,1.5999999999999965,20,0.05597964376590325,-0.025445292620865145,0.01526717557251911,0.022250732302837584,-0.043118977189404495,-0.036108995841898084,0.03372891146306567,0.01767368456853935,0.05137617141441719,0.07957544605782818,-0.012478150651806685,2.1999999999999975,60,0.14249363867684472,-0.12977099236641232,-0.06106870229007644,0.2832037596783781,-0.09295342874006418,0.14219993316357993,-0.14071012100153335,-0.03681756362634814,-0.20326863545365637,0.07957544605782818,-0.1779623948065363,1.0980392156862733,600115.SH,中国东航,-0.008524903550482,3,subjective/semi-quantitative,neutral,0
2012-03-22,3.06064004,2583.747,10,0.01279707495429605,-0.039305301645338186,-0.000914076782449813,-0.0019049852791314104,-0.059609164519591085,-0.024754358689143996,0.01470206023342746,0.020303862874252898,0.023840281906694183,0.032282955008370307,-0.0008842370059374272,0.32558139534883457,20,0.058500914076782484,-0.039305301645338186,0.03564899451553938,0.021886043796083943,-0.059609164519591085,0.00817378791344514,0.03661487028069854,0.020303862874252898,0.027475206602094238,0.032282955008370307,-0.0020121948704987513,1.4883720930232576,60,0.058500914076782484,-0.14318004870641377,-0.12351532851279046,0.05189285173819269,-0.059609164519591085,-0.02769698426355205,0.006608062338589793,-0.08357088418682268,-0.09581834424923841,0.032282955008370307,-0.13348433758863854,0.4085828619651945,600015.SH,华夏银行,0.035331097187741,2,subjective/semi-quantitative,neutral,0
2014-09-24,3.50013365,2441.864,10,0.02130177514792897,-0.009467455621301801,0.008284023668639007,0.01894003924870491,-0.008749463524586276,0.009013605999351304,0.00236173589922406,-0.0007179920967155251,-0.0007295823307122973,0.0022976231000286784,-0.010331412371181514,2.249999999999991,20,0.02721893491124261,-0.031952662721893565,-0.011834319526627168,0.01894003924870491,-0.03283720960708714,0.003898661022890604,0.0082788956625377,0.0008845468851935712,-0.015732980549517772,0.01079646788492239,-0.015671881197139137,0.8518518518518501,60,0.5207100591715976,-0.031952662721893565,0.327810650887574,0.414987484970498,-0.03283720960708714,0.3229176563477738,0.10572257420109965,0.0008845468851935712,0.004892994539800188,0.10493851026091772,-0.04554960582552947,16.29629629629626,600015.SH,华夏银行,-0.0353180649827285,2,subjective/semi-quantitative,low_value,1
2015-03-09,4.96231966,3537.75,10,0.08764607679465763,-0.026711185308848084,0.07762938230383964,0.12283117800862131,-0.00728287753515644,0.1227647516076602,-0.035185101213963677,-0.019428307773691644,-0.04513536930382056,0.015898763289979412,-0.04020020154639903,3.2812499999999947,20,0.1585976627712855,-0.026711185308848084,0.14440734557596002,0.20428831884672438,-0.00728287753515644,0.20416762066285066,-0.045690656075438874,-0.019428307773691644,-0.059760275086890635,0.015898763289979412,-0.07124171985153505,5.9375,60,0.4991652754590983,-0.026711185308848084,0.3772954924874792,0.4774486608720232,-0.00728287753515644,0.45391562433750265,0.021716614587075078,-0.019428307773691644,-0.07662013185002348,0.1372617449364555,-0.08980711048172552,18.68749999999999,600015.SH,华夏银行,0.1120571436216531,2,subjective/semi-quantitative,low_value,1
2016-12-05,6.18717632,3469.407,10,0.03595890410958913,-0.06678082191780832,-0.06421232876712324,0.011102761941738093,-0.04162325146631696,-0.04047492842436762,0.024856142167851036,-0.025157570451491362,-0.02373740034275562,0.02899319019952684,-0.02615671286041299,0.538461538461539,20,0.03595890410958913,-0.09589041095890405,-0.046232876712328785,0.011102761941738093,-0.05832668234081517,-0.03665756136423326,0.024856142167851036,-0.037563728618088876,-0.009575315348095526,0.02899319019952684,-0.046945879187642814,0.37500000000000117,60,0.03595890410958913,-0.09589041095890405,-0.006849315068493178,0.011102761941738093,-0.05914555426907253,-0.004453210591896628,0.024856142167851036,-0.03674485668983152,-0.00239610447659655,0.02899319019952684,-0.046945879187642814,0.37500000000000117,600015.SH,华夏银行,0.0355451442356934,4,subjective/semi-quantitative,low_value,1
2017-01-13,5.8004778,3319.912,10,0.07031963470319624,-0.0036529680365297024,0.049315068493150704,0.022884040299863573,-0.01677905920397893,0.013428066768034874,0.04743559440333267,0.013126091167449228,0.03588700172511583,0.037299931011477216,0.014469255813391646,19.249999999999854,20,0.07488584474885829,-0.0036529680365297024,0.05936073059360725,0.041460135087918015,-0.01677905920397893,0.03058213591203618,0.03342570966094027,0.013126091167449228,0.028778594681571068,0.037299931011477216,0.014469255813391646,20.499999999999833,60,0.09863013698630141,-0.025570776255707806,-0.022831050228310557,0.06232183262688906,-0.01677905920397893,0.04302252589827682,0.03630830435941235,-0.008791717051728876,-0.06585357612658738,0.037588405797650326,-0.0631372520644965,3.8571428571428523,600015.SH,华夏银行,-0.0007962770388992,2,subjective/semi-quantitative,neutral,0
