ts_code,name,last_launch,bars_ago,last_quality,last_excess_mfe_20,last_mae_20,last_excess_ret_20,last_efficiency_20,n_hist,n_high,n_low,hit_rate,med_excess_mfe_20,med_mae_20,recent_launch,hist_ok,last_is_low,score,l2_flow,env_level,rating_kind,live_filter,archive_only,note,recommend_rank
601688.SH,华泰证券,2026-08-13,4,watching,,,,,0,0,0,,,,1,0,0,0.0,0.0530378533848241,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600015.SH,华夏银行,2026-07-02,34,high_value,0.09582156595341051,-0.006051437216338829,0.1683743086771513,19.069056286431998,11,2,6,0.18181818181818182,0.024856142167851036,-0.023215821152192673,1,0,0,0.08332002220944168,0.0076887568087676,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600522.SH,中天科技,2026-06-16,45,low_value,0.22075764640881523,-0.26131117266851334,-0.2238436330639978,0.9858657243816256,3,1,2,0.3333333333333333,0.22075764640881523,-0.05770411295273181,1,0,1,0.0883030585635261,-0.0625635695098216,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000988.SZ,华工科技,2026-06-15,46,neutral,0.13046035674769962,-0.11479686917629517,0.01238202864393989,1.4437229437229435,6,2,3,0.3333333333333333,0.06563398700068035,-0.09504661350106708,1,1,0,0.13814056159924032,0.3747933384358621,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601995.SH,中金公司,2026-06-15,46,high_value,0.09447607667454916,-0.016923990498812325,0.07172018575703776,7.666666666666679,1,1,0,1.0,0.09447607667454916,-0.016923990498812325,1,0,0,0.037790430669819665,-0.0208539269577408,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002594.SZ,比亚迪,2026-06-12,47,low_value,-0.05678885220586816,-0.15283842794759817,-0.03328530980333888,0.0214285714285724,9,4,5,0.4444444444444444,0.09527999591561298,-0.031112614135948458,1,1,1,0.10019343425498142,0.1333138487041425,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600926.SH,杭州银行,2026-06-08,51,low_value,-0.03278587383260789,-0.09585053769295637,-0.0494803379380373,0.4340127646343942,3,0,3,0.0,-0.03278587383260789,-0.09585053769295637,0,0,1,-0.013114349533043157,-0.0331024442093143,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000001.SZ,平安银行,2026-05-29,57,neutral,0.027958926597866585,-0.05309044600522983,-0.03941343391690466,1.1894221858528935,4,1,2,0.25,0.01651524104121249,-0.023528877623174793,0,1,0,0.06772186752535626,0.0593587418836054,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600886.SH,国投电力,2026-05-19,65,neutral,0.04565343589171489,-0.04734158776402042,-0.01811318502446424,1.5692307692307699,9,3,4,0.3333333333333333,0.04565343589171489,-0.04242046163443547,0,1,0,0.10078178050288575,-0.0196394796824763,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600025.SH,华能水电,2026-05-19,65,low_value,0.006717095061710365,-0.07070707070707072,-0.04282350747695718,0.49999999999999845,9,2,7,0.2222222222222222,0.006963222332709185,-0.06498951781970652,0,0,1,0.04775199699196245,-0.0152914780939607,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601088.SH,中国神华,2026-05-14,68,high_value,0.11733333168843596,-0.020588886429045883,0.08603872024580572,6.462365591397837,4,2,2,0.5,0.0593711793460433,-0.013775859278736313,0,1,0,0.17069927030284449,0.0058574290773686,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601919.SH,中远海控,2026-05-14,68,neutral,0.04721748340123488,-0.023076923076923106,0.03420980972749965,2.727272727272723,6,3,2,0.5,0.05367646130120307,-0.020804075814370993,0,1,0,0.1403519810410287,-0.0323018282313097,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601390.SH,中国中铁,2026-05-11,71,low_value,-0.008137540274943955,-0.12403100775193798,-0.07205151288809708,0.06250000000000011,3,0,3,0.0,-0.0013474331939988815,-0.12403100775193798,0,0,1,-0.003255016109977582,0.0325148563832181,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601727.SH,上海电气,2026-04-30,75,high_value,0.10827119370294547,-0.017326732673267342,-0.033448859957802446,8.928571428571422,28,8,17,0.2857142857142857,0.030910600477804473,-0.06049091437352749,0,1,0,0.10987952077644202,-0.0413403258584274,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601018.SH,宁波港,2026-04-28,77,low_value,-0.05982701148190617,-0.09163937555774437,-0.10113625317065111,-0.02834373959440389,8,0,6,0.0,0.001679553820942481,-0.02400309717382887,0,0,1,-0.02481673766228118,-0.0047316803882081,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601009.SH,南京银行,2026-04-15,86,low_value,-0.0057757364174853,-0.024128686327077653,-0.04862715180479238,2.814814814814834,13,2,8,0.15384615384615385,0.009497998244037298,-0.05200729927007297,0,0,1,0.030011299205026116,-0.0303451467767193,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601229.SH,上海银行,2026-04-14,87,low_value,-0.05164476435791143,-0.06230847803881512,-0.06431708256399937,0.2950819672131135,3,0,2,0.0,0.0023447650431898115,-0.06144578313253013,0,0,1,-0.020657905743164576,-0.009060913394429,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000333.SZ,美的集团,2026-03-31,96,low_value,-0.010698469138646693,-0.011132940406024971,-0.016000851692498985,6.576470588235255,6,0,5,0.0,0.0038037209014586404,-0.0529272746293355,0,0,1,-0.006199796235737456,0.0513004750261412,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600219.SH,南山铝业,2026-03-12,109,low_value,0.008602748032887853,-0.25654450261780104,-0.17236736477797754,0.06122448979591865,4,1,3,0.25,0.015044778613262477,-0.0321917292018819,0,1,1,0.05897437240341884,0.092507956966021,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002920.SZ,德赛西威,2026-03-12,109,low_value,-0.00037458314889260436,-0.1399843076751064,-0.08152084492228628,0.04807306770813741,1,0,1,0.0,-0.00037458314889260436,-0.1399843076751064,0,0,1,-0.00014983325955704175,0.076676081058778,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601319.SH,中国人保,2026-03-03,116,low_value,-0.00817284225587156,-0.1595375722543353,-0.1153254826463237,0.036231884057971335,1,0,1,0.0,-0.00817284225587156,-0.1595375722543353,0,0,1,-0.003269136902348624,-0.010104717374156,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
688072.SH,拓荆科技,2026-03-02,117,low_value,0.056280331150473595,-0.15503573749187782,0.056220190848164875,0.3847443419949705,1,0,1,0.0,0.056280331150473595,-0.15503573749187782,0,0,1,0.02251213246018944,0.0152955567871788,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600426.SH,华鲁恒升,2026-02-03,130,high_value,0.18108810379149487,-0.053235053235053176,0.08766288753305784,3.8307692307692367,6,4,2,0.6666666666666666,0.12387479941970547,-0.05321007469444966,0,1,0,0.25012132084343375,0.06469215091123,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002028.SZ,思源电气,2026-02-02,131,high_value,0.2434433122527886,-0.01047792152250615,0.20323333621391781,26.561224489795922,18,12,4,0.6666666666666666,0.09228656418364989,-0.02955148857466733,0,1,0,0.26605880176723984,0.1476377785409207,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600690.SH,海尔智家,2026-01-29,133,low_value,0.03778642275454924,-0.051453260015711044,-0.003912768859201221,0.7862595419847285,5,0,4,0.0,0.02146361822037557,-0.05451127819548873,0,0,1,0.018926886422814312,-0.0902371243736549,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
688111.SH,金山办公,2026-01-29,133,low_value,-0.004134669029049798,-0.20269532484698705,-0.15864586437909256,-0.007229940459313522,3,1,1,0.3333333333333333,0.12461850847795897,-0.11098686049762374,0,0,1,-0.0016538676116199193,-0.0026288063991775,3,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
603993.SH,洛阳钼业,2026-01-26,136,neutral,0.15347617796217428,-0.15409570154095698,-0.037001356716260925,1.0842105263157904,8,4,1,0.5,0.14160229179163442,-0.04472736497163865,0,1,0,0.21043558557781075,-0.0084539994250155,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601288.SH,农业银行,2026-01-20,140,low_value,-0.004063380907264991,-0.10041841004184104,-0.0956543708890415,0.06944444444444516,7,1,6,0.14285714285714285,0.00206176295321725,-0.040431266846361336,0,0,1,0.026629153400874014,0.001565159349799,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601988.SH,中国银行,2026-01-20,140,low_value,-0.003683940428144572,-0.03860294117647067,-0.031177691095785387,0.19047619047618938,17,2,14,0.11764705882352941,0.0068750076378498726,-0.041095890410958846,0,0,1,0.023035305277516273,-0.0075210864686439,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002050.SZ,三花智控,2026-01-16,142,low_value,0.04934490375589751,-0.14584058475461192,-0.054162211482328804,0.3949880668257756,2,1,1,0.5,0.0878883214771945,-0.10645425626380639,0,0,1,0.019737961502359003,0.7794389902531382,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600362.SH,江西铜业,2026-01-13,145,high_value,0.22381137753370162,-0.09089320048942495,-0.020425791662186166,2.5942307692307676,7,4,3,0.5714285714285714,0.10410696598146485,-0.09089320048942495,0,1,0,0.23842625775799853,0.0150556449335834,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601398.SH,工商银行,2026-01-13,145,low_value,-0.014547379352053524,-0.08450704225352101,-0.057584754720541476,-0.030303030303029707,10,1,6,0.1,0.017990039912354483,-0.038452380952380905,0,0,1,0.01881061857311271,-0.0014492812264473,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
688271.SH,联影医疗,2025-12-25,156,high_value,0.12298872896562507,-0.03865144267859899,0.01952751325168678,4.2654690618762485,1,1,0,1.0,0.12298872896562507,-0.03865144267859899,0,0,0,0.04919549158625003,-0.0453368881559212,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
000938.SZ,紫光股份,2025-12-22,159,high_value,0.09088868097843905,-0.028997180829641533,0.04671573596225409,4.81944444444445,4,3,1,0.75,0.13466344186400747,-0.03677312862561394,0,1,0,0.23608802048896124,0.0149225982054717,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601728.SH,中国电信,2025-12-19,160,low_value,-0.05441198156577376,-0.12684365781710916,-0.15540798252379506,0.03488372093023173,10,4,5,0.4,0.0516825755973509,-0.042802819514004775,0,1,1,0.07672228814997599,0.0003785080962977,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
