date,gross_ret,net_ret,hs300_ret,turnover,satellite_w,n_hold,unselected_ew_ret,uni_ew_ret,gross_vs_hs300,net_vs_hs300,net_vs_unselected,net_vs_uni,cost,strategy_ret,benchmark_ret,excess_ret,nav,bench,excess_nav,heat
2024-09-02,0.0,0.0,0.0,0.0,0.3,5,-0.019452155471372943,-0.01899191595999029,0.007721351695505994,0.007253351695505995,0.009718468171684001,0.009258228660301349,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
2024-09-03,0.0009950567055057166,0.0008390567055057167,0.0025780005029079067,0.12,0.3,5,0.004779577206383167,0.004650160388985881,-0.0015829437974021901,-0.00173894379740219,-0.00394052050087745,-0.0038111036834801645,0.0001559999999999999,0.0008390567055057167,0.0025780005029079067,-0.00173894379740219,1.0008390567055057,1.002578000502908,0.9982655276731287,0
2024-09-04,-0.006263671809032569,-0.006575671809032569,-0.006495728239892196,0.24,0.3,5,-0.006985809002902622,-0.006937460738234467,0.0002320564308596262,-7.994356914037357e-05,0.0004101371938700525,0.00036178892920189776,0.0003119999999999998,-0.006575671809032569,-0.006495728239892196,-7.994356914037357e-05,0.9942578675349485,0.9960655262723466,0.9981852009835507,0
2024-09-05,0.0005304672304324099,0.0003744672304324099,0.0017197467446989911,0.12,0.3,5,0.003075688712931615,0.0029586545569093977,-0.0011892795142665813,-0.0013452795142665811,-0.002701221482499205,-0.0025841873264769877,0.000156,0.0003744672304324099,0.0017197467446989911,-0.0013452795142665811,0.99463018452494,0.9977785067186603,0.9968446682580144,0
2024-09-06,-0.007347369749209039,-0.007659369749209039,-0.008107447398330248,0.24,0.3,5,-0.010451352378545295,-0.010376178909312165,0.0007600776491212087,0.0004480776491212089,0.002791982629336256,0.0027168091601031267,0.0003119999999999998,-0.007659369749209039,-0.008107447398330248,0.0004480776491212089,0.9870119441779395,0.9896890699602543,0.9972949829763985,0
2024-09-09,-0.012747350937564603,-0.012903350937564603,-0.01188176802005425,0.12,0.3,5,-0.009954325070008489,-0.010015857452060064,-0.0008655829175103526,-0.0010215829175103525,-0.0029490258675561147,-0.002887493485504539,0.0001559999999999999,-0.012903350937564603,-0.01188176802005425,-0.0010215829175103525,0.9742761826826436,0.9779298140190034,0.9962639125180728,0
2024-09-10,0.0005165318426024166,0.00036053184260241664,0.0008780590347814421,0.12,0.3,5,0.0023540671942587554,0.002257252849961206,-0.00036152719217902546,-0.0005175271921790255,-0.001993535351656339,-0.0018967210073587894,0.000156,0.00036053184260241664,0.0008780590347814421,-0.0005175271921790255,0.9746274402699897,0.9787884941275848,0.9957487711772665,0
2024-09-11,-0.0048541243919199666,-0.0050101243919199664,-0.0030119015373893943,0.12,0.3,5,-0.0018745288166326902,-0.002003058856578034,-0.0018422228545305723,-0.001998222854530572,-0.0031355955752872763,-0.0030070655353419324,0.0001559999999999999,-0.0050101243919199664,-0.0030119015373893943,-0.001998222854530572,0.9697444355584586,0.9758404795573429,0.9937530322562048,0
2024-09-12,-0.004101426593555875,-0.004413426593555874,-0.004285826513225288,0.24,0.3,5,-0.0037968988907456373,-0.003829552953039806,0.00018439991966941356,-0.00012760008033058622,-0.000616527702810237,-0.0005838736405160685,0.0003119999999999998,-0.004413426593555874,-0.004285826513225288,-0.00012760008033058622,0.965464539677612,0.9716581965573775,0.993625683494762,0
2024-09-13,-0.0009780927990005535,-0.0012900927990005535,-0.004169521036684776,0.24,0.3,5,-0.004415332087635746,-0.004231912163445407,0.003191428237684222,0.002879428237684222,0.0031252392886351923,0.0029418193644448537,0.000312,-0.0012900927990005535,-0.004169521036684776,0.002879428237684222,0.9642190008272835,0.9676068472663644,0.9964987366008704,0
2024-09-18,0.005513317185226881,0.005357317185226881,0.003723418903301967,0.12,0.3,5,0.0033697732686378576,0.003425347313896656,0.0017898982819249138,0.001633898281924914,0.0019875439165890235,0.001931969871330225,0.0001559999999999999,0.005357317185226881,0.003723418903301967,0.001633898281924914,0.9693846278507378,0.9712096528924403,0.9981208742764579,0
2024-09-19,0.00683725213239807,0.00652525213239807,0.007891964522851236,0.24,0.3,5,0.009663417410944543,0.009504836373537233,-0.0010547123904531656,-0.0013667123904531654,-0.0031381652785464724,-0.002979584241139163,0.0003119999999999998,0.00652525213239807,0.007891964522851236,-0.0013667123904531654,0.9757101069607346,0.9788744050173181,0.9967674115899193,0
2024-09-20,0.0011543171492852133,0.0011543171492852133,0.0015688185210196437,0.0,0.3,5,0.0015683829806158566,0.001545069526573294,-0.0004145013717344304,-0.0004145013717344304,-0.00041406583133064335,-0.0003907523772880806,0.0,0.0011543171492852133,0.0015688185210196437,-0.0004145013717344304,0.9768363858699302,0.9804100813136614,0.996354897290588,0
2024-09-23,0.0047608589124549456,0.004604858912454946,0.0036594870738808627,0.12,0.3,5,0.001272885917340931,0.0013557621616575573,0.0011013718385740829,0.000945371838574083,0.0033319729951140145,0.0032490967507973886,0.0001559999999999999,0.004604858912454946,0.0036594870738808627,0.000945371838574083,0.9813345796074137,0.9839978793333312,0.9972933887543316,0
2024-09-24,0.04146451532475111,0.041308515324751105,0.04331009197407876,0.12,0.3,5,0.0415556027577405,0.04145028062184154,-0.0018455766493276488,-0.002001576649327652,-0.00024708743298939434,-0.00014176529709043761,0.00015600000000000336,0.041308515324751105,0.04331009197407876,-0.002001576649327652,1.0218720541278348,1.0266149179895563,0.9953800945431325,0
2024-09-25,0.014707889892824278,0.01464548989282428,0.014804697860234306,0.048,0.12,5,0.012239090411549414,0.012301889284346907,-9.680796741002792e-05,-0.00015920796741002684,0.0024063994812748655,0.002343600608477372,6.239999999999891e-05,0.01464548989282428,0.014804697860234306,-0.00015920796741002684,1.0368378709683237,1.041813641669201,0.9952239340109762,1
2024-09-26,0.04208093275468244,0.042018532754682446,0.04227135235789281,0.048,0.12,5,0.04003364902096524,0.04002978671378727,-0.00019041960321036777,-0.00025281960321036495,0.001984883733717205,0.0019887460408951757,6.239999999999718e-05,0.042018532754682446,0.04227135235789281,-0.00025281960321036495,1.0804042770109015,1.0858525132074592,0.994982526512312,1
2024-09-27,0.041304869130136125,0.04124246913013613,0.044668600332991026,0.048,0.12,5,0.050002408283554664,0.049463490385826106,-0.0033637312028549013,-0.0034261312028548985,-0.008759939153418536,-0.008221021255689978,6.239999999999718e-05,0.04124246913013613,0.044668600332991026,-0.0034261312028548985,1.1249628170535906,1.1343560251404972,0.9917193474722866,1
2024-09-30,0.08392820400521984,0.08386580400521984,0.08482622266273232,0.048,0.12,5,0.09630512680861232,0.09603807440489019,-0.0008980186575124754,-0.0009604186575124796,-0.01243932280339248,-0.012172270399670351,6.240000000000412e-05,0.08386580400521984,0.08482622266273232,-0.0009604186575124796,1.219308728181767,1.230579161907877,0.9908413582197861,1
2024-10-08,0.05896502575554044,0.05884022575554044,0.05929575100342732,0.096,0.12,5,0.06962215761205365,0.06913413130049267,-0.0003307252478868816,-0.0004555252478868829,-0.010781931856513209,-0.010293905544952235,0.0001248000000000013,0.05884022575554044,0.05929575100342732,-0.0004555252478868829,1.291053129013683,1.3035472774823726,0.9904152701750716,1
2024-10-09,-0.06756788505555035,-0.06769268505555034,-0.07051351423870533,0.096,0.12,5,-0.0704556134774172,-0.07022059194577288,0.0029456291831549825,0.002820829183154988,0.0027629284218668587,0.002527906890222531,0.00012479999999999436,-0.06769268505555034,-0.07051351423870533,0.002820829183154988,1.203658276161377,1.2116295779707937,0.9934210075799182,1
