date,close,label,pos_state,eq_state,benchmark,pos_event,eq_event
2010-07-05,2512.651,bottom_watch,0.0,1.0,1.0,0.0,1.0
2010-07-06,2562.902,bottom_watch,0.0,1.0,1.0199991960682164,0.0,1.0
2010-07-07,2580.477,bottom_watch,0.0,1.0,1.0269938005715875,0.0,1.0
2010-07-08,2575.921,bottom_watch,0.0,1.0,1.025180576212136,0.0,1.0
2010-07-09,2647.104,bottom_watch,0.0,1.0,1.053510415891423,0.0,1.0
2010-07-12,2676.218,bottom_watch,0.0,1.0,1.0650973812121143,0.0,1.0
2010-07-13,2634.593,bottom_watch,0.0,1.0,1.0485312126514983,0.0,1.0
2010-07-14,2653.609,bottom_watch,0.0,1.0,1.0560993150262412,0.0,1.0
2010-07-15,2608.519,bottom_watch,0.0,1.0,1.0381541248665251,0.0,1.0
2010-07-16,2616.128,bottom_watch,0.0,1.0,1.0411824005801045,0.0,1.0
2010-07-19,2682.472,bottom_watch,0.0,1.0,1.0675863858530292,0.0,1.0
2010-07-20,2741.503,bottom_watch,0.0,1.0,1.091079899277695,0.0,1.0
2010-07-21,2747.335,bottom_watch,0.0,1.0,1.093400953813323,0.0,1.0
2010-07-22,2781.286,bottom_watch,0.0,1.0,1.106912977568313,0.0,1.0
2010-07-23,2793.076,bottom_watch,0.0,1.0,1.1116052328795363,0.0,1.0
2010-07-26,2811.055,bottom_watch,0.0,1.0,1.1187606237396277,0.0,1.0
2010-07-27,2795.724,bottom_watch,0.0,1.0,1.1126590998909118,0.0,1.0
2010-07-28,2863.724,bottom_watch,0.0,1.0,1.1397221500319779,0.0,1.0
2010-07-29,2877.976,bottom_watch,0.0,1.0,1.14539424695272,0.0,1.0
2010-07-30,2868.846,bottom_watch,0.0,1.0,1.1417606344852502,0.0,1.0
2010-08-02,2917.275,bottom_watch,0.0,1.0,1.1610347000040988,0.0,1.0
2010-08-03,2865.971,bottom_watch,0.0,1.0,1.1406164246447275,0.0,1.0
2010-08-04,2876.434,bottom_watch,0.0,1.0,1.1447805524921684,0.0,1.0
2010-08-05,2850.829,bottom_watch,0.0,1.0,1.1345901201559625,0.0,1.0
2010-08-06,2897.659,bottom_watch,0.0,1.0,1.1532278060104644,0.0,1.0
2010-08-09,2918.241,bottom_watch,0.0,1.0,1.1614191545105148,0.0,1.0
2010-08-10,2832.638,bottom_watch,0.0,1.0,1.1273503562571958,0.0,1.0
2010-08-11,2850.211,bottom_watch,0.0,1.0,1.134344164788504,0.0,1.0
2010-08-12,2816.386,bottom_watch,0.0,1.0,1.120882287273481,0.0,1.0
2010-08-13,2855.547,bottom_watch,0.0,1.0,1.1364678182525147,0.0,1.0
2010-08-16,2922.083,watch,0.0,1.0,1.162948216843485,0.0,1.0
2010-08-17,2942.291,watch,0.0,1.0,1.1709907185677595,0.0,1.0
2010-08-18,2937.362,watch,0.0,1.0,1.1690290454185635,0.0,1.0
2010-08-19,2955.395,watch,0.0,1.0,1.1762059275243553,0.0,1.0
2010-08-20,2898.333,watch,0.0,1.0,1.1534960485956862,0.0,1.0
2010-08-23,2896.192,watch,0.0,1.0,1.152643960502274,0.0,1.0
2010-08-24,2911.827,watch,0.0,1.0,1.1588664721045618,0.0,1.0
2010-08-25,2843.023,watch,0.0,1.0,1.131483441194181,0.0,1.0
2010-08-26,2850.093,watch,0.0,1.0,1.1342972024367888,0.0,1.0
2010-08-27,2858.566,watch,0.0,1.0,1.1376693380815717,0.0,1.0
2010-08-30,2915.01,watch,0.0,1.0,1.1601332616427826,0.0,1.0
2010-08-31,2903.188,watch,0.0,1.0,1.155428270778552,0.0,1.0
2010-09-01,2884.042,watch,0.0,1.0,1.147808430219716,0.0,1.0
2010-09-02,2921.393,watch,0.0,1.0,1.1626736064817595,0.0,1.0
2010-09-03,2920.205,watch,0.0,1.0,1.1622007990763537,0.0,1.0
2010-09-06,2975.09,watch,0.0,1.0,1.1840442624144774,0.0,1.0
2010-09-07,2983.108,watch,0.0,1.0,1.1872353144149344,0.0,1.0
2010-09-08,2980.967,watch,0.0,1.0,1.1863832263215222,0.0,1.0
2010-09-09,2926.46,watch,0.0,1.0,1.1646902017033,0.0,1.0
2010-09-10,2932.554,watch,0.0,1.0,1.1671155285791772,0.0,1.0
2010-09-13,2962.319,watch,0.0,1.0,1.1789615828063658,0.0,1.0
2010-09-14,2965.009,watch,0.0,1.0,1.180032165231064,0.0,1.0
2010-09-15,2913.194,watch,0.0,1.0,1.1594105190096031,0.0,1.0
2010-09-16,2857.789,watch,0.0,1.0,1.1373601029351066,0.0,1.0
2010-09-17,2861.369,watch,0.0,1.0,1.1387848929278275,0.0,1.0
2010-09-20,2849.828,watch,0.0,1.0,1.1341917361384442,0.0,1.0
2010-09-21,2857.476,watch,0.0,1.0,1.1372355333072512,0.0,1.0
2010-09-27,2905.029,watch,0.0,1.0,1.1561609630625178,0.0,1.0
2010-09-28,2880.907,watch,0.0,1.0,1.1465607440110062,0.0,1.0
2010-09-29,2874.812,watch,0.0,1.0,1.144135019149097,0.0,1.0
2010-09-30,2935.574,watch,0.0,1.0,1.1683174463942656,0.0,1.0
2010-10-08,3044.233,watch,0.0,1.0,1.211562210589532,0.0,1.0
2010-10-11,3132.895,watch,0.0,1.0,1.2468484481131672,0.0,1.0
2010-10-12,3172.726,watch,0.0,1.0,1.2627006297332968,0.0,1.0
2010-10-13,3217.577,watch,0.0,1.0,1.2805507012314876,0.0,1.0
2010-10-14,3224.14,watch,0.0,1.0,1.283162683556132,0.0,1.0
2010-10-15,3327.683,watch,0.0,1.0,1.3243713512143145,0.0,1.0
2010-10-18,3306.16,watch,0.0,1.0,1.3158054978586353,0.0,1.0
2010-10-19,3375.674,watch,0.0,1.0,1.3434710988513718,0.0,1.0
2010-10-20,3396.879,watch,0.0,1.0,1.351910392649038,0.0,1.0
2010-10-21,3374.685,watch,0.0,1.0,1.3430774906662317,0.0,1.0
2010-10-22,3378.655,watch,0.0,1.0,1.3446574952112322,0.0,1.0
2010-10-25,3481.081,watch,0.0,1.0,1.3854216124722447,0.0,1.0
2010-10-26,3466.084,watch,0.0,1.0,1.379453015958045,0.0,1.0
2010-10-27,3403.872,watch,0.0,1.0,1.3546935089672214,0.0,1.0
2010-10-28,3397.692,watch,0.0,1.0,1.3522339552926361,0.0,1.0
2010-10-29,3379.983,watch,0.0,1.0,1.345186020661046,0.0,1.0
2010-11-01,3472.995,watch,0.0,1.0,1.3822034974216464,0.0,1.0
2010-11-02,3463.131,watch,0.0,1.0,1.378277763207066,0.0,1.0
2010-11-03,3420.341,watch,0.0,1.0,1.3612479409197686,0.0,1.0
2010-11-04,3480.505,watch,0.0,1.0,1.3851923725181086,0.0,1.0
2010-11-05,3520.798,watch,0.0,1.0,1.4012284236847847,0.0,1.0
2010-11-08,3548.566,watch,0.0,1.0,1.4122796998070957,0.0,1.0
2010-11-09,3523.954,watch,0.0,1.0,1.402484467600156,0.0,1.0
2010-11-10,3499.111,watch,0.0,1.0,1.3925973006199426,0.0,1.0
2010-11-11,3509.975,watch,0.0,1.0,1.3969210208660092,0.0,1.0
2010-11-12,3291.833,watch,0.0,1.0,1.3101035519855322,0.0,1.0
2010-11-15,3314.893,watch,0.0,1.0,1.3192811098716057,0.0,1.0
2010-11-16,3169.538,watch,0.0,1.0,1.2614318502649193,0.0,1.0
2010-11-17,3103.906,watch,0.0,1.0,1.2353112310464127,0.0,1.0
2010-11-18,3147.962,watch,0.0,1.0,1.2528449036495717,0.0,1.0
2010-11-19,3178.846,watch,0.0,1.0,1.2651363042459935,0.0,1.0
2010-11-22,3171.941,watch,0.0,1.0,1.2623882106985806,0.0,1.0
2010-11-23,3107.176,watch,0.0,1.0,1.2366126453693727,0.0,1.0
2010-11-24,3177.043,watch,0.0,1.0,1.2644187354312237,0.0,1.0
2010-11-25,3223.484,watch,0.0,1.0,1.2829016047194772,0.0,1.0
2010-11-26,3194.853,watch,0.0,1.0,1.271506866651994,0.0,1.0
2010-11-29,3190.05,watch,0.0,1.0,1.2695953397427655,0.0,1.0
2010-11-30,3136.985,watch,0.0,1.0,1.2484762109819467,0.0,1.0
2010-12-01,3136.024,watch,0.0,1.0,1.2480937464056883,0.0,1.0
2010-12-02,3155.059,watch,0.0,1.0,1.2556694105150294,0.0,1.0
2010-12-03,3158.156,watch,0.0,1.0,1.2569019732545426,0.0,1.0
2010-12-06,3165.57,watch,0.0,1.0,1.259852641691982,0.0,1.0
2010-12-07,3200.339,watch,0.0,1.0,1.273690218020728,0.0,1.0
2010-12-08,3171.882,watch,0.0,1.0,1.2623647295227232,0.0,1.0
2010-12-09,3123.366,watch,0.0,1.0,1.2430560392191354,0.0,1.0
2010-12-10,3161.977,watch,0.0,1.0,1.2584226778808518,0.0,1.0
2010-12-13,3261.061,watch,0.0,1.0,1.2978567258246372,0.0,1.0
2010-12-14,3269.474,watch,0.0,1.0,1.3012049823075311,0.0,1.0
2010-12-15,3247.644,watch,0.0,1.0,1.2925169472401856,0.0,1.0
2010-12-16,3230.665,watch,0.0,1.0,1.2857595424115804,0.0,1.0
2010-12-17,3225.661,watch,0.0,1.0,1.283768020310023,0.0,1.0
2010-12-20,3178.657,watch,0.0,1.0,1.2650610848860426,0.0,1.0
2010-12-21,3249.509,watch,0.0,1.0,1.2932591911889078,0.0,1.0
2010-12-22,3215.453,watch,0.0,1.0,1.2797053789006114,0.0,1.0
2010-12-23,3188.607,watch,0.0,1.0,1.2690210458993312,0.0,1.0
2010-12-24,3162.955,watch,0.0,1.0,1.2588119082196454,0.0,1.0
2010-12-27,3099.709,watch,0.0,1.0,1.233640883672265,0.0,1.0
2010-12-28,3044.931,watch,0.0,1.0,1.2118400048395104,0.0,1.0
2010-12-29,3061.83,watch,0.0,1.0,1.218565570785597,0.0,1.0
2010-12-30,3064.098,watch,0.0,1.0,1.2194682031050077,0.0,1.0
2010-12-31,3128.261,watch,0.0,1.0,1.2450041808432608,0.0,1.0
2011-01-04,3189.682,bottom_watch,0.0,1.0,1.2694488808831788,0.0,1.0
2011-01-05,3175.662,bottom_watch,0.0,1.0,1.2638691167217413,0.0,1.0
2011-01-06,3159.643,bottom_watch,0.0,1.0,1.2574937784833629,0.0,1.0
2011-01-07,3166.624,bottom_watch,0.0,1.0,1.2602721189691684,0.0,1.0
2011-01-10,3108.187,bottom_watch,0.0,1.0,1.2370150092472052,0.0,1.0
2011-01-11,3124.922,bottom_watch,0.0,1.0,1.2436753054841279,0.0,1.0
2011-01-12,3142.337,bottom_watch,0.0,1.0,1.2506062322224611,0.0,1.0
2011-01-13,3141.284,bottom_watch,0.0,1.0,1.2501871529313062,0.0,1.0
2011-01-14,3091.862,bottom_watch,0.0,1.0,1.230517887283192,0.0,1.0
2011-01-17,2974.35,bottom_watch,0.0,1.0,1.1837497527511776,0.0,1.0
2011-01-18,2977.648,bottom_watch,0.0,1.0,1.1850623106830196,0.0,1.0
2011-01-19,3044.851,bottom_watch,0.0,1.0,1.211808165956991,0.0,1.0
2011-01-20,2944.713,bottom_watch,0.0,1.0,1.1719546407360193,0.0,1.0
2011-01-21,2983.456,bottom_watch,0.0,1.0,1.1873738135538918,0.0,1.0
2011-01-24,2954.232,bottom_watch,0.0,1.0,1.175743069769737,0.0,1.0
2011-01-25,2938.654,bottom_watch,0.0,1.0,1.169543243371244,0.0,1.0
2011-01-26,2978.431,bottom_watch,0.0,1.0,1.1853739337456735,0.0,1.0
2011-01-27,3026.466,bottom_watch,0.0,1.0,1.2044911927681163,0.0,1.0
2011-01-28,3036.735,bottom_watch,0.0,1.0,1.2085781113254488,0.0,1.0
2011-01-31,3076.508,bottom_watch,0.0,1.0,1.2244072097557521,0.0,1.0
2011-02-01,3077.283,bottom_watch,0.0,1.0,1.2247156489301538,0.0,1.0
2011-02-09,3040.949,bottom_watch,0.0,1.0,1.2102552244621319,0.0,1.0
2011-02-10,3104.163,bottom_watch,0.0,1.0,1.2354135134565047,0.0,1.0
2011-02-11,3120.956,bottom_watch,0.0,1.0,1.2420968928832536,0.0,1.0
2011-02-14,3219.143,bottom_watch,0.0,1.0,1.2811739473567956,0.0,1.0
2011-02-15,3217.671,bottom_watch,0.0,1.0,1.280588111918448,0.0,1.0
2011-02-16,3248.527,bottom_watch,0.0,1.0,1.292868368905988,0.0,1.0
