date,gross_ret,net_ret,hs300_ret,turnover,satellite_w,n_hold,unselected_ew_ret,uni_ew_ret,gross_vs_hs300,net_vs_hs300,net_vs_unselected,net_vs_uni,cost,strategy_ret,benchmark_ret,excess_ret,nav,bench,excess_nav,heat
2024-09-02,0.0,0.0,0.0,0.0,0.3,216,-0.02846255992487292,-0.01899191595999029,0.0016989863861258808,0.0016989863861258808,0.013174507315803864,0.0037038633509212347,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
2024-09-03,0.0012006514292619871,0.0012006514292619871,0.0025780005029079067,0.0,0.3,216,0.010182393391660402,0.004650160388985881,-0.0013773490736459196,-0.0013773490736459196,-0.008981741962398414,-0.003449508959723894,0.0,0.0012006514292619871,0.0025780005029079067,-0.0013773490736459196,1.001200651429262,1.002578000502908,0.9986261926025156,0
2024-09-04,-0.006703899041462562,-0.006703899041462562,-0.006495728239892196,0.0,0.3,216,-0.005136290577517186,-0.006937460738234467,-0.00020817080157036622,-0.00020817080157036622,-0.0015676084639453759,0.00023356169677190512,0.0,-0.006703899041462562,-0.006495728239892196,-0.00020817080157036622,0.9944887033418337,0.9960655262723466,0.9984169485953259,0
2024-09-05,0.0017480975415252722,0.0017480975415252722,0.0017197467446989911,0.0,0.3,216,0.00634815629719296,0.0029586545569093977,2.8350796826281076e-05,2.8350796826281076e-05,-0.004600058755667688,-0.0012105570153841255,0.0,0.0017480975415252722,0.0017197467446989911,2.8350796826281076e-05,0.9962271665992201,0.9977785067186603,0.9984452059159482,0
2024-09-06,-0.0075634227786472875,-0.0075634227786472875,-0.008107447398330248,0.0,0.3,216,-0.01426033027260148,-0.010376178909312165,0.00054402461968296,0.00054402461968296,0.006696907493954192,0.002812756130664878,0.0,-0.0075634227786472875,-0.008107447398330248,0.00054402461968296,0.9886922793546563,0.9896890699602543,0.9989928244780575,0
2024-09-09,-0.012314092262508906,-0.012314092262508906,-0.01188176802005425,0.0,0.3,216,-0.004567816384783638,-0.010015857452060064,-0.00043232424245465487,-0.00043232424245465487,-0.007746275877725268,-0.0022982348104488414,0.0,-0.012314092262508906,-0.01188176802005425,-0.00043232424245465487,0.9765174314074528,0.9779298140190034,0.9985557423535887,0
2024-09-10,0.0005458694765093904,0.0005458694765093904,0.0008780590347814421,0.0,0.3,216,0.0035240114735867593,0.002257252849961206,-0.00033218955827205173,-0.00033218955827205173,-0.0029781419970773687,-0.0017113833734518156,0.0,0.0005458694765093904,0.0008780590347814421,-0.00033218955827205173,0.9770504824665376,0.9787884941275848,0.9982243235678855,0
2024-09-11,-0.005144953863501408,-0.005144953863501408,-0.0030119015373893943,0.0,0.3,216,0.003765981230409604,-0.002003058856578034,-0.002133052326112014,-0.002133052326112014,-0.008910935093911013,-0.0031418950069233742,0.0,-0.005144953863501408,-0.0030119015373893943,-0.002133052326112014,0.9720236028119354,0.9758404795573429,0.9960886263427616,0
2024-09-12,-0.003380681363775692,-0.003380681363775692,-0.004285826513225288,0.0,0.3,216,-0.006488783397154014,-0.003829552953039806,0.0009051451494495964,0.0009051451494495964,0.0031081020333783224,0.00044887158926411406,0.0,-0.003380681363775692,-0.004285826513225288,0.0009051451494495964,0.9687375007327591,0.9716581965573775,0.9969941118852632,0
2024-09-13,-0.004059063367708553,-0.004059063367708553,-0.004169521036684776,0.0,0.3,216,-0.005971351197140508,-0.004231912163445407,0.00011045766897622294,0.00011045766897622294,0.001912287829431955,0.00017284879573685463,0.0,-0.004059063367708553,-0.004169521036684776,0.00011045766897622294,0.9648053338306092,0.9676068472663644,0.997104698624581,0
