,nav_long,nav_rest,nav_hs300,rel_vs_rest_pct,rel_vs_hs300_pct
2024-09-02,1.0,1.0,1.0,0.0,0.0
2024-09-03,1.0025581281621714,1.0101823933916605,1.002578000502908,-0.7547414486101744,-0.0019821241565853853
2024-09-04,0.9949985139941255,1.004993803082909,0.9960655262723466,-0.9945622607942517,-0.1071226992680141
2024-09-05,0.996666020653172,1.0113736608225898,0.9977785067186603,-1.4542241645343568,-0.1114962948186693
2024-09-06,0.9878539695272434,0.9969511383902497,0.9896890699602543,-0.9124989693773067,-0.1854219157017334
2024-09-09,0.9760580931772659,0.9923972486454821,0.9779298140190034,-1.6464329672938316,-0.19139623466895017
2024-09-10,0.9777829659585195,0.9958944679360647,0.9787884941275848,-1.8186165864622406,-0.10273191553621386
2024-09-11,0.9737533331264326,0.9996449878097807,0.9758404795573429,-2.5900849800764347,-0.21388192790045002
2024-09-12,0.9710178711396991,0.9931585080098324,0.9716581965573775,-2.2293155313647173,-0.06590027439146162
2024-09-13,0.9675722228539634,0.9872280097640775,0.9676068472663644,-1.9910078234927076,-0.0035783554548807217
2024-09-18,0.9720170915022094,0.9874104422702698,0.9712096528924403,-1.5589617153194957,0.08313741604240033
2024-09-19,0.9813110949892988,0.9964097516639812,0.9788744050173181,-1.5153059922855983,0.24892774389555505
2024-09-20,0.9835709726424098,0.9958911890824862,0.9804100813136614,-1.2371046731949775,0.3224050210206997
2024-09-23,0.9873994325783375,0.9904036993999766,0.9839978793333312,-0.3033376009660693,0.3456870503939502
2024-09-24,1.0280408481888743,1.031719141924142,1.0266149179895563,-0.3565208384529672,0.1388963061349724
2024-09-25,1.041460707044326,1.042157979455397,1.041813641669201,-0.066906594280014,-0.03387694408660824
2024-09-26,1.0825101687168395,1.0850829993868343,1.0858525132074592,-0.23710911252399214,-0.3078083303179824
2024-09-27,1.1281895098746677,1.159371118914758,1.1343560251404972,-2.68952784241151,-0.5436137446412137
2024-09-30,1.2240033273639765,1.3041039243836532,1.230579161907877,-6.142194308443161,-0.5343690798164769
2024-10-08,1.2875388027486014,1.453789893816925,1.3035472774823726,-11.435702763886413,-1.2280701291240814
2024-10-09,1.1935323239509155,1.3639390289847262,1.2116295779707937,-12.493718664290743,-1.4936292699446185
2024-10-10,1.2110037648779293,1.3414192747269118,1.224433210179077,-9.722203363712122,-1.0967887173840674
2024-10-11,1.178107427344149,1.289215904248578,1.1905524973729027,-8.61829865255881,-1.0453188797818869
2024-10-14,1.2025374679850453,1.3218563410613344,1.213270766928503,-9.026614267363309,-0.8846581683188415
2024-10-15,1.1720509153322487,1.2901921015368851,1.1810051788493205,-9.156867885325436,-0.7581900297673694
2024-10-16,1.167885563675739,1.2684572442814632,1.1735301963760607,-7.9286614554118895,-0.4809959486132276
2024-10-17,1.155121218191327,1.2687277100226946,1.1602477602678822,-8.95436356705217,-0.4418489095270095
2024-10-18,1.191094397544243,1.3445806407517362,1.2022115698844502,-11.41517574741231,-0.924726780102092
2024-10-21,1.197841494089441,1.363737663139526,1.205263136938895,-12.164815384519578,-0.6157695047658507
2024-10-22,1.2058520407770397,1.372214564995517,1.2121783050654342,-12.123652412844121,-0.5218922217926525
2024-10-23,1.2125003673390078,1.3710827342184169,1.2169052110391048,-11.56621427151212,-0.36197097852310733
2024-10-24,1.2005764453030825,1.3584726673139433,1.2033139857721762,-11.623069481630655,-0.22750009569090235
2024-10-25,1.2078761751893936,1.3784263492992812,1.2117634519454905,-12.372817321475772,-0.3207950157149808
2024-10-28,1.2142066369954363,1.3792120443554874,1.2141327854638155,-11.96374466387139,0.0060826568975880235
2024-10-29,1.2032675366020147,1.3632363207793536,1.2020323974406204,-11.734486657888176,0.10275423225065694
2024-10-30,1.1970586657166893,1.3537842153147732,1.1912513311593735,-11.576848645826699,0.4874986835619266
2024-10-31,1.2000772829682487,1.3613608117750482,1.191738588323285,-11.847228700266864,0.6997083694919803
2024-11-01,1.2017765056793857,1.3359961637091287,1.1914263994822674,-10.046410437071074,0.868715533046438
2024-11-04,1.2181663354922254,1.365964299568215,1.2081925298260854,-10.820045891588014,0.8255145947290154
2024-11-05,1.249269832699402,1.4150634050023394,1.2387622890091325,-11.716335233944042,0.8482292190759466
2024-11-06,1.249970233105599,1.4154045489759832,1.2325480986128368,-11.688129446105888,1.4135054455375773
2024-11-07,1.28202929098292,1.4513590251011803,1.2697339151384166,-11.66697772155002,0.9683427132182398
2024-11-08,1.2715548542264876,1.4595721207912045,1.256978000992951,-12.88167017487265,1.1596744908838108
2024-11-11,1.2759197688530997,1.5067373185710202,1.2652732869812677,-15.319030521977538,0.8414373385873475
2024-11-12,1.2606249755385557,1.4917557977397626,1.251371894306021,-15.493877922338584,0.7394349573166759
2024-11-13,1.2705866918068311,1.5026269117172826,1.2590738897970009,-15.44230428065896,0.9143865267261297
2024-11-14,1.2482385744989501,1.4534838156102192,1.2372451731403036,-14.12091685555511,0.888538633837932
2024-11-15,1.231952981659142,1.4040543601949842,1.2155642967205917,-12.257458358801877,1.34823678046192
2024-11-18,1.2250454641427424,1.373526804621255,1.2099134122365884,-10.810225179366316,1.2506723004402032
2024-11-19,1.2323433297022837,1.4061098542679886,1.2180330173466476,-12.357962220253881,1.174870644049486
