ts_code,signal_date,entry_date,entry_price,exit_date,exit_price,signal_pos
600930.SH,2025-11-28,2025-12-01,6.50649482,2026-08-19,,1.0
600919.SH,2024-09-02,2024-09-03,7.08541568,2026-08-19,,3.0
600926.SH,2024-09-02,2024-09-03,11.72878784,2026-08-19,,3.0
600941.SH,2024-09-02,2024-09-03,96.4845341,2026-08-19,,0.35
600999.SH,2024-09-02,2024-09-03,13.75605504,2026-08-19,,3.0
601006.SH,2024-09-02,2024-09-03,5.62901688,2026-08-19,,3.0
600989.SH,2024-12-23,2024-12-24,14.77449195,2026-08-19,,1.0
601009.SH,2024-09-02,2024-09-03,9.24287007,2026-08-19,,3.0
600958.SH,2024-09-02,2024-09-03,7.9016498,2026-08-19,,3.0
601077.SH,2024-09-02,2024-09-03,4.69064794,2026-08-19,,3.0
601058.SH,2024-09-02,2024-09-03,12.084654,2026-08-19,,1.0
601018.SH,2024-09-02,2024-09-03,3.17842018,2026-08-19,,3.0
601021.SH,2024-09-02,2024-09-03,47.63153937,2026-08-19,,3.0
601066.SH,2024-09-02,2024-09-03,18.4194813,2026-08-19,,3.0
601127.SH,2024-09-02,2024-09-03,72.49335456,2026-08-19,,1.0
601088.SH,2024-09-02,2024-09-03,37.01866688,2026-08-19,,3.0
601117.SH,2024-09-02,2024-09-03,6.15936883,2026-08-19,,3.0
601136.SH,2025-11-18,2025-11-19,19.92674739,2026-08-19,,1.0
601111.SH,2024-09-02,2024-09-03,6.8,2026-08-19,,3.0
601138.SH,2024-09-02,2024-09-03,18.64884642,2026-08-19,,0.35
601169.SH,2024-09-02,2024-09-03,4.83685566,2026-08-19,,3.0
601186.SH,2024-09-02,2024-09-03,6.75818756,2026-08-19,,3.0
601225.SH,2024-09-02,2024-09-03,22.16216475,2026-08-19,,3.0
601166.SH,2024-09-02,2024-09-03,14.9021895,2026-08-19,,3.0
601211.SH,2024-09-02,2024-09-03,13.72594289,2026-08-19,,3.0
601229.SH,2024-09-02,2024-09-03,6.41258908,2026-08-19,,3.0
601238.SH,2024-09-02,2024-09-03,7.18320021,2026-08-19,,1.0
601319.SH,2026-03-03,2026-03-04,8.42110698,2026-08-19,,1.0
601318.SH,2024-09-02,2024-09-03,39.69530474,2026-08-19,,3.0
