month,strategy,benchmark,excess
2024-09,0.21930872818176694,0.23057916190787697,-0.01127043372611003
2024-10,-0.042177324450516473,-0.03156284031689116,-0.010614484133625313
2024-11,0.006094075182985881,0.006564723730902111,-0.00047064854791623034
2024-12,0.013768861053389037,0.004679512489355497,0.00908934856403354
2025-01,-0.0402536583941463,-0.0299449474192669,-0.010308710974879398
2025-02,0.01672255928194266,0.019116313039480026,-0.0023937537575373646
2025-03,0.004747238976645862,-0.0007051582670415391,0.005452397243687401
2025-04,-0.03152544091710563,-0.030029823227687213,-0.0014956176894184159
2025-05,0.0055830249303163715,0.018475135261362352,-0.01289211033104598
2025-06,0.02325988180964056,0.024958594301704107,-0.0016987124920635477
2025-07,0.020675541747573467,0.03544443504704953,-0.01476889329947606
2025-08,0.08294930511267928,0.10333909347924863,-0.02038978836656935
2025-09,0.06182010796142445,0.03200847472571988,0.02981163323570457
2025-10,-0.011990809480093567,-5.5810623993401975e-06,-0.011985228417694227
2025-11,-0.019996345216702682,-0.02456672397738613,0.004570378760683447
2025-12,0.029091285995583416,0.022815467363410002,0.006275818632173413
2026-01,0.05073895146362961,0.016501425126613345,0.034237526337016266
2026-02,0.017873676780687964,0.0009151059864966893,0.016958570794191274
2026-03,-0.0390769391194693,-0.05532097937546521,0.016244040255995906
2026-04,0.08009851328570927,0.08028171732838985,-0.00018320404268057366
2026-05,0.03233549652776957,0.0176428095322978,0.014692686995471771
2026-06,0.06680820194141357,0.017847370219540526,0.048960831721873044
2026-07,-0.1245307209046459,-0.07857039460397963,-0.045960326300666265
2026-08,-0.0033126897610865624,0.0001086919375385964,-0.003421381698625159
