sample,label,ret_col,start,end,n,gross_return,net_return,hs300_return,excess_hs300,max_drawdown,avg_turnover,avg_hold,cost_drag,t_vs_hs300,p_vs_hs300,t_vs_unselected,p_vs_unselected,t_vs_uni,p_vs_uni,mean_daily_vs_hs300,mean_daily_vs_unselected,mean_daily_vs_uni,sharpe_net,verdict_style
full,state_machine,net_ret,2010-07-01,2026-08-17,3918,5.460323142390231,3.5897661695962997,0.876866525129345,2.7128996444669546,-0.7066009883977575,0.06715590173787231,11.228177641653906,1.8705569727939313,1.4032428308957332,0.16054443946625904,-1.6069902923604487,0.10805649764586657,-1.5846839602731582,0.11303815796995088,0.0002540915875380084,-0.0002885593228868178,-0.00028251707474518127,0.5309660913327864,相对沪深300或未入选等权未同时达到显著正超额。
full,state_machine_gross,gross_ret,2010-07-01,2026-08-17,3918,5.460323142390231,5.460323142390231,0.876866525129345,4.583456617260886,-0.7028092892059687,0.06715590173787231,11.228177641653906,0.0,1.8922740399337357,0.0584544779221456,-1.1272520901804421,0.2596359123783474,-1.5846839602731582,0.11303815796995088,0.0003413942597972424,-0.00020125665062758374,-0.00028251707474518127,0.6231007363124182,相对沪深300或未入选等权未同时达到显著正超额。
full,always_100,net_ret,2010-07-01,2026-08-17,3918,5.158903768125944,3.3919256055013163,0.876866525129345,2.5150590803719712,-0.7056039528342308,0.06643267303981183,11.229709035222053,1.7669781626246275,1.3421970636668803,0.17953210831448357,-1.6741617411233436,0.09409881632818692,-1.6530840543231,0.09831375810394155,0.0002427852992288905,-0.0002998656111959356,-0.00029382336305429927,0.5191931597081286,相对沪深300或未入选等权未同时达到显著正超额。
full,always_100_gross,gross_ret,2010-07-01,2026-08-17,3918,5.158903768125944,5.158903768125944,0.876866525129345,4.282037242996599,-0.7020740687340011,0.06643267303981183,11.229709035222053,0.0,1.8266931710449907,0.0677459156067883,-1.1981851613978323,0.23084494080505297,-1.6530840543231,0.09831375810394155,0.00032914777418064587,-0.00021350313624418025,-0.00029382336305429927,0.6103413848843723,相对沪深300或未入选等权未同时达到显著正超额。
full,restore_100_on_non_risk_days,net_ret,2010-07-01,2026-08-17,3918,5.141036526555754,3.359165034564887,0.876866525129345,2.482298509435542,-0.7056039528342306,0.06733281676914293,11.229709035222053,1.7818714919908674,1.3313960051588274,0.18305874319674562,-1.6843804185969913,0.09210817262262297,-1.6635170066369036,0.09620898947120438,0.00024088466578129307,-0.00030176624464353305,-0.00029572399650189664,0.5171599147428628,相对沪深300或未入选等权未同时达到显著正超额。
full,restore_100_on_non_risk_days_gross,gross_ret,2010-07-01,2026-08-17,3918,5.141036526555754,5.141036526555754,0.876866525129345,4.264170001426409,-0.7020740687340009,0.06733281676914293,11.229709035222053,0.0,1.8223676258606303,0.06839922338064024,-1.2020090125912095,0.22936003626555265,-1.6635170066369036,0.09620898947120438,0.00032841732758117894,-0.00021423358284364727,-0.00029572399650189664,0.609539110207269,相对沪深300或未入选等权未同时达到显著正超额。
train,state_machine,net_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.2892545142463194,1.0630015941753053,0.22625292007101416,-0.7066009883977575,0.07026397188704676,8.786776212832551,0.6015080734370506,0.33337075503585817,0.7388544358939244,-1.8422835991394029,0.06543367751400841,-1.8145158600403515,0.06959834324133274,8.202839544034072e-05,-0.0004316940259725236,-0.00042411233566294756,0.44162416145714195,相对沪深300或未入选等权未同时达到显著正超额。
train,state_machine_gross,gross_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.89076258768337,1.0630015941753053,0.8277609935080648,-0.7028092892059687,0.07026397188704676,8.786776212832551,0.0,0.7299736599809523,0.4654062852201889,-1.4580636353758958,0.14482300361561706,-1.8145158600403515,0.06959834324133274,0.00017337155889350143,-0.0003403508625193629,-0.00042411233566294756,0.5283004134369598,相对沪深300或未入选等权未同时达到显著正超额。
train,always_100,net_ret,2010-07-01,2020-12-31,2556,1.6939396643613644,1.1398985507618442,1.0630015941753053,0.07689695658653894,-0.7056039528342308,0.06935672865993955,8.786776212832551,0.5540411135995202,0.21873834224178004,0.8268538793682331,-1.9616761078516871,0.04980020517799844,-1.9355676229811016,0.052920678988475606,5.5505007776359964e-05,-0.00045821741363650446,-0.0004506357233269284,0.4166460341696341,相对沪深300或未入选等权未同时达到显著正超额。
train,always_100_gross,gross_ret,2010-07-01,2020-12-31,2556,1.6939396643613644,1.6939396643613644,1.0630015941753053,0.6309380701860592,-0.7020740687340011,0.06935672865993955,8.786776212832551,0.0,0.61105441083919,0.5411635595749789,-1.5809659975870691,0.11388581252598656,-1.9355676229811016,0.052920678988475606,0.00014566875503428138,-0.00036805366637858303,-0.0004506357233269284,0.5022260145387579,相对沪深300或未入选等权未同时达到显著正超额。
