sample,label,ret_col,start,end,n,gross_return,net_return,hs300_return,excess_hs300,max_drawdown,avg_turnover,avg_hold,cost_drag,t_vs_hs300,p_vs_hs300,t_vs_unselected,p_vs_unselected,t_vs_uni,p_vs_uni,mean_daily_vs_hs300,mean_daily_vs_unselected,mean_daily_vs_uni,sharpe_net,verdict_style
full,state_machine_net,net_ret,2010-07-01,2026-08-17,3918,5.460323142390231,3.5897661695962997,0.876866525129345,2.7128996444669546,-0.7066009883977575,0.06715590173787231,11.228177641653906,1.8705569727939313,1.4032428308957332,0.16054443946625904,-1.6069902923604487,0.10805649764586657,-1.5846839602731582,0.11303815796995088,0.0002540915875380084,-0.0002885593228868178,-0.00028251707474518127,0.5309660913327864,相对沪深300或未入选等权未同时达到显著正超额。
train,state_machine_net,net_ret,2010-07-01,2020-12-31,2556,1.89076258768337,1.2892545142463194,1.0630015941753053,0.22625292007101416,-0.7066009883977575,0.07026397188704676,8.786776212832551,0.6015080734370506,0.33337075503585817,0.7388544358939244,-1.8422835991394029,0.06543367751400841,-1.8145158600403515,0.06959834324133274,8.202839544034072e-05,-0.0004316940259725236,-0.00042411233566294756,0.44162416145714195,相对沪深300或未入选等权未同时达到显著正超额。
test,state_machine_net,net_ret,2021-01-04,2026-08-17,1362,1.2033378494590727,0.9769439502871924,-0.09997118106984582,1.0769151313570382,-0.23238013716376926,0.061323135731051574,15.809838472834068,0.22639389917188035,2.069168520722546,0.03853027559478076,-0.06090073169807561,0.9514382667186106,-0.06320073468279457,0.9496066597587385,0.0005769943180825302,-1.994529859381895e-05,-1.679204764840406e-05,0.8118748316187665,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。
