,gross_ret,net_ret,cost,turnover,n_hold,n_rest,uni_ew_ret,unselected_ew_ret,held_cc_ret,hs300_ret,hs300_open_to_close,gross_vs_hs300,net_vs_hs300,gross_vs_uni,net_vs_uni,gross_vs_unselected,net_vs_unselected
2010-01-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.015933057719651256,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,0.0,0.0,0.0,0.0,0,150,0.011095283441623712,0.011095283441623712,0.0,0.00814911848709099,0.005317633545884437,-0.00814911848709099,-0.00814911848709099,-0.011095283441623712,-0.011095283441623712,-0.011095283441623712,-0.011095283441623712
2010-01-06,0.0,0.0,0.0,0.0,0,150,-0.003851278447023322,-0.003851278447023322,0.0,-0.0062600342645056095,-0.004769438278022897,0.0062600342645056095,0.0062600342645056095,0.003851278447023322,0.003851278447023322,0.003851278447023322,0.003851278447023322
2010-01-07,0.0,0.0,0.0,0.0,0,150,-0.02082624673230257,-0.02082624673230257,0.0,-0.019840885534091024,-0.020237302295126325,0.019840885534091024,0.019840885534091024,0.02082624673230257,0.02082624673230257,0.02082624673230257,0.02082624673230257
2010-01-08,0.0,0.0,0.0,0.0,0,151,0.00507756734508746,0.00507756734508746,0.0,0.0024986633850465623,0.006717563788217751,-0.0024986633850465623,-0.0024986633850465623,-0.00507756734508746,-0.00507756734508746,-0.00507756734508746,-0.00507756734508746
2010-01-11,0.0,0.0,0.0,0.0,0,151,0.0027519415856707943,0.0027519415856707943,0.0,0.0005522782194917752,-0.0309075212365012,-0.0005522782194917752,-0.0005522782194917752,-0.0027519415856707943,-0.0027519415856707943,-0.0027519415856707943,-0.0027519415856707943
2010-01-12,0.0,0.0,0.0,0.0,0,151,0.018175936188257382,0.018175936188257382,0.0,0.015181852539824181,0.016410751264721135,-0.015181852539824181,-0.015181852539824181,-0.018175936188257382,-0.018175936188257382,-0.018175936188257382,-0.018175936188257382
2010-01-13,0.0,0.0,0.0,0.0,0,151,-0.015630362947672664,-0.015630362947672664,0.0,-0.03218520609824971,-0.007872595439306185,0.03218520609824971,0.03218520609824971,0.015630362947672664,0.015630362947672664,0.015630362947672664,0.015630362947672664
2010-01-14,0.0,0.0,0.0,0.0,0,151,0.02241565424454244,0.02241565424454244,0.0,0.014003210621944095,0.010362397013868208,-0.014003210621944095,-0.014003210621944095,-0.02241565424454244,-0.02241565424454244,-0.02241565424454244,-0.02241565424454244
2010-01-15,0.0,0.0,0.0,0.0,0,151,0.003633883036614334,0.003633883036614334,0.0,0.0039454594354477734,0.002941376359097969,-0.0039454594354477734,-0.0039454594354477734,-0.003633883036614334,-0.003633883036614334,-0.003633883036614334,-0.003633883036614334
2010-01-18,0.0,0.0,0.0,0.0,0,151,0.009811569179488815,0.009811569179488815,0.0,0.0051528423900966125,0.008326283629392028,-0.0051528423900966125,-0.0051528423900966125,-0.009811569179488815,-0.009811569179488815,-0.009811569179488815,-0.009811569179488815
2010-01-19,0.0,0.0,0.0,0.0,0,151,0.00017736754997088526,0.00017736754997088526,0.0,0.0019419062103291918,0.00019276800598611032,-0.0019419062103291918,-0.0019419062103291918,-0.00017736754997088526,-0.00017736754997088526,-0.00017736754997088526,-0.00017736754997088526
2010-01-20,0.0,0.0,0.0,0.0,0,151,-0.03392183027733672,-0.03392183027733672,0.0,-0.03223052890934286,-0.03354320853379855,0.03223052890934286,0.03223052890934286,0.03392183027733672,0.03392183027733672,0.03392183027733672,0.03392183027733672
