ts_code,signal_date,entry_date,entry_price,hs300_entry_price,hold_n,complete,exit_date,exit_price,hs300_exit_price,stock_ret,hs300_ret,excess_ret,mfe,mae,hs300_mfe,hs300_mae,excess_mfe,excess_mae,uni_ew_ret,unselected_ew_ret,n_universe,n_unselected,bars,excess_vs_uni,excess_vs_unselected
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,5,1,2011-01-11,6.79478893,3124.922,0.015396458814472824,-0.014276471911225275,0.0296729307256981,0.043110084680523464,-0.013086989992301623,0.012528937622173553,-0.027023062721024504,0.03058114705834991,0.013936072728722881,-0.026501189608514233,-0.028422863550847305,173.0,165.0,5.0,0.04189764842298706,0.04381932236532013
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,10,1,2011-01-18,6.52691249,2977.648,-0.024634334103156186,-0.0607324944537867,0.036098160350630515,0.043110084680523464,-0.029253271747498033,0.012528937622173553,-0.07021081761577652,0.03058114705834991,0.04095754586827849,-0.06973139530168143,-0.0722796832110352,173.0,165.0,10.0,0.045097061198525246,0.047645349107879015
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,15,1,2011-01-25,6.50630661,2938.654,-0.02771362586605075,-0.07303273850925229,0.04531911264320154,0.043110084680523464,-0.03772132409545803,0.012528937622173553,-0.07918128333997343,0.03058114705834991,0.0414599592445154,-0.09095430785884007,-0.09501445363283391,173.0,165.0,15.0,0.06324068199278932,0.06730082776678316
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,20,1,2011-02-01,6.5423669,3077.283,-0.022324865280985318,-0.02930368960005758,0.006978824319072263,0.043110084680523464,-0.03849114703618162,0.012528937622173553,-0.07918128333997343,0.03058114705834991,0.04069013630379181,-0.042884540683445126,-0.045643636068709935,173.0,165.0,20.0,0.020559675402459808,0.023318770787724617
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,30,1,2011-02-22,6.55266984,3163.578,-0.020785219399538035,-0.0020828463737559977,-0.018702373025782038,0.043110084680523464,-0.03849114703618162,0.031186547392719755,-0.07918128333997343,0.01192353728780371,0.04069013630379181,0.0005108949733333892,-0.00026721467851611243,173.0,165.0,30.0,-0.021296114372871426,-0.020518004721021922
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,40,1,2011-03-08,7.3666021,3337.457,0.10084680523479594,0.05276544146848394,0.048081363766312,0.12240184757505768,-0.03849114703618162,0.0544227600884617,-0.07918128333997343,0.06797908748659598,0.04069013630379181,0.04143719128518886,0.040247198284645756,173.0,165.0,40.0,0.05940961394960709,0.06059960695015019
600036.SH,2011-01-04,2011-01-05,6.69175953,3170.181,60,1,2011-04-07,7.6241756,3324.419,0.13933795227097767,0.04865274254056784,0.09068520973040983,0.14857582755966137,-0.03849114703618162,0.05845281389296075,-0.07918128333997343,0.09012301366670061,0.04069013630379181,0.03211002141448916,0.030039586121356834,173.0,165.0,60.0,0.10722793085648852,0.10929836614962084
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,5,1,2011-06-03,6.89266686,2986.349,-0.029731689630166702,0.010070436231112145,-0.03980212586127885,0.010152284263959421,-0.04641044234952851,0.016905033696084315,-0.011350633756965323,-0.006752749432124894,-0.03505980859256319,0.020841883179719533,0.021430396239483368,174.0,171.0,5.0,-0.05057357280988624,-0.05116208586965007
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,10,1,2011-06-13,6.76061454,2950.348,-0.04832045708538324,-0.002106153234739505,-0.046214303850643734,0.010152284263959421,-0.06538096331066467,0.01901896620244714,-0.01178018484225829,-0.00886668193848772,-0.053600778468406385,0.011102424143705747,0.011495854543253735,174.0,171.0,10.0,-0.05942288122908899,-0.05981631162863697
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,15,1,2011-06-20,6.7448064,2874.896,-0.05054574050607208,-0.027626222909954756,-0.022919517596117323,0.010152284263959421,-0.06538096331066467,0.01901896620244714,-0.031850029172268535,-0.00886668193848772,-0.03353093413839614,-0.019297319658029364,-0.01881356219168987,174.0,171.0,15.0,-0.031248420848042715,-0.03173217831438221
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,20,1,2011-06-27,6.99246726,3036.491,-0.015682966915279373,0.027029924828560148,-0.04271289174383952,0.010152284263959421,-0.06538096331066467,0.033636217582845074,-0.031850029172268535,-0.023483933318885652,-0.03353093413839614,0.04368198216039994,0.0448962897592712,174.0,171.0,20.0,-0.05936494907567931,-0.06057925667455057
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,30,1,2011-07-11,6.96612036,3113.206,-0.01939177261642755,0.052977177984661505,-0.07236895060108905,0.010152284263959421,-0.06538096331066467,0.062074190575243327,-0.031850029172268535,-0.051921906311283905,-0.03353093413839614,0.08677461366543954,0.08868155736445674,174.0,171.0,30.0,-0.10616638628186709,-0.10807332998088429
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,40,1,2011-07-25,6.49714554,2968.289,-0.08540851409686467,0.0039620168607257256,-0.0893705309575904,0.010152284263959421,-0.08689203637732401,0.062074190575243327,-0.031850029172268535,-0.051921906311283905,-0.055042007205055477,0.04946771626154435,0.0514826349482989,174.0,171.0,40.0,-0.134876230358409,-0.13689114904516358
600036.SH,2011-05-27,2011-05-30,7.10387713,2956.575,60,1,2011-08-22,6.09140328,2777.787,-0.14252412189454633,-0.060471322391618676,-0.08205279950292765,0.010152284263959421,-0.18332098460717605,0.062074190575243327,-0.0877748746438024,-0.051921906311283905,-0.09554610996337365,-0.008453625800833815,-0.006084655739754754,174.0,171.0,60.0,-0.13407049609371252,-0.13643946615479158
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,5,1,2014-10-08,6.5067552,2478.383,-0.018779342723004633,0.010173541211605297,-0.02895288393460993,0.0009389671361501595,-0.028169014084507005,0.010173541211605297,-0.013419618223192598,-0.009234574075455138,-0.014749395861314407,0.02270752260527257,0.023975767524792423,201.0,190.0,5.0,-0.0414868653282772,-0.04275511024779706
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,10,1,2014-10-15,6.48807552,2463.874,-0.021596244131455333,0.004259762788561217,-0.02585600692001655,0.0009389671361501595,-0.031924882629107976,0.014139428871417614,-0.013419618223192598,-0.013200461735267455,-0.018505264405915378,0.01491549524123804,0.016761912481679207,201.0,190.0,10.0,-0.03651173937269338,-0.03835815661313454
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,15,1,2014-10-22,6.45071616,2418.641,-0.027230046948356734,-0.014176927500883285,-0.013053119447473449,0.0009389671361501595,-0.031924882629107976,0.014139428871417614,-0.017535500400868487,-0.013200461735267455,-0.014389382228239489,-0.008124236193133946,-0.006859053530445204,201.0,190.0,15.0,-0.019105810755222788,-0.02037099341791153
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,20,1,2014-10-29,6.46316928,2451.384,-0.025352112676056304,-0.0008310837552267802,-0.024521028920829524,0.0009389671361501595,-0.04882629107981218,0.014139428871417614,-0.03739387785962711,-0.013200461735267455,-0.011432413220185067,0.014109346075976845,0.016833501660115012,201.0,190.0,20.0,-0.03946145875203315,-0.042185614336171316
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,30,1,2014-11-12,6.84298944,2594.318,0.03192488262910809,0.057427928245557425,-0.025503045616449338,0.05539906103286385,-0.04882629107981218,0.06071109629281235,-0.03739387785962711,-0.0053120352599485,-0.011432413220185067,0.06324816099836479,0.06625105965071325,201.0,190.0,30.0,-0.031323278369256705,-0.03432617702160516
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,40,1,2014-11-26,7.05469248,2723.018,0.06384976525821595,0.10988525011789663,-0.046035484859680675,0.06666666666666665,-0.04882629107981218,0.1100246471969979,-0.03739387785962711,-0.04335798053033124,-0.011432413220185067,0.12111897752123907,0.12525825159482398,201.0,190.0,40.0,-0.05726921226302312,-0.06140848633660803
600036.SH,2014-09-24,2014-09-25,6.6312864,2453.423,60,1,2014-12-24,8.9039808,3230.385,0.34272300469483574,0.31668489290269175,0.026038111792143992,0.5023474178403757,-0.04882629107981218,0.4083209458784727,-0.03739387785962711,0.09402647196190306,-0.011432413220185067,0.26950810113299684,0.2704840882742478,201.0,190.0,60.0,0.0732149035618389,0.07223891642058794
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,5,1,2015-03-16,9.56399616,3705.671,0.0600414078674949,0.05165993120750123,0.00838147665999367,0.0731538992408558,-0.01794340924775706,0.0516792294331998,-0.003307659125222684,0.021474669807656,-0.014635750122534374,0.056509482529772066,0.0557605397084456,210.0,202.0,5.0,0.003531925337722834,0.004280868159049302
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,10,1,2015-03-23,9.83173824,3972.061,0.08971704623878551,0.12726073038108332,-0.037543684142297806,0.10144927536231885,-0.01794340924775706,0.12732742277871756,-0.003307659125222684,-0.02587814741639871,-0.014635750122534374,0.1293775199982853,0.1294745441252235,210.0,202.0,10.0,-0.0396604737594998,-0.03975749788643798
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,15,1,2015-03-30,9.80060544,4088.178,0.0862663906142167,0.16021443734320195,-0.07394804672898525,0.10144927536231885,-0.01794340924775706,0.16403804020842094,-0.003307659125222684,-0.0625887648461021,-0.014635750122534374,0.161760714904766,0.1624435843507891,210.0,202.0,15.0,-0.07549432429054931,-0.07617719373657239
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,20,1,2015-04-07,9.75079296,4260.044,0.08074534161490687,0.20898956760622545,-0.12824422599131857,0.1325051759834368,-0.01794340924775706,0.2091107491117139,-0.003307659125222684,-0.0766055731282771,-0.014635750122534374,0.2395424968470631,0.24199794133083233,210.0,202.0,20.0,-0.15879715523215623,-0.16125259971592545
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,30,1,2015-04-21,11.31365952,4619.164,0.25396825396825395,0.3109069030888514,-0.05693864912059743,0.3423050379572121,-0.01794340924775706,0.3256655049891588,-0.003307659125222684,0.016639532968053317,-0.014635750122534374,0.3372617049051985,0.33921158215060915,210.0,202.0,30.0,-0.08329345093694457,-0.0852433281823552
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,40,1,2015-05-06,10.92138624,4553.327,0.210489993098689,0.292222531246098,-0.081732538147409,0.3423050379572121,-0.01794340924775706,0.37331793259243296,-0.003307659125222684,-0.031012894635220833,-0.014635750122534374,0.342511399406521,0.347380179595682,210.0,202.0,40.0,-0.132021406307832,-0.13689018649699303
600036.SH,2015-03-09,2015-03-10,9.02228544,3523.64,60,1,2015-06-03,12.1106592,5143.59,0.3423050379572121,0.4597376576494763,-0.11743261969226415,0.3526570048309181,-0.01794340924775706,0.4833649294479574,-0.003307659125222684,-0.13070792461703928,-0.014635750122534374,0.6773306180088419,0.6920405785693992,210.0,202.0,60.0,-0.33502558005162975,-0.34973554061218703
