sample,hold_n,n_events,n_complete,mean_ret,median_ret,mean_mfe,median_mfe,mean_mae,median_mae,win_rate,beat_hs300,mean_excess_hs300,median_excess_hs300,t_excess_hs300,p_excess_hs300,mean_excess_unselected,t_excess_unselected,p_excess_unselected,mean_hs300_ret,mean_uni_ew_ret,mean_unselected_ew_ret,mean_excess_mfe,mean_hs300_mfe,mean_hs300_mae,mean_excess_mae,start,end,note
full,20,955,955,0.016406888873918783,0.00324324324324321,0.0924447443833345,0.059902200488997526,-0.06164970452670001,-0.045454545454545414,0.5172774869109947,0.48586387434554973,0.008069031497676718,-0.0024051475515975973,2.5005409268126204,0.01240038041329639,-0.0014733107787840859,-0.4658951555379238,0.6412905489370899,0.008337857376242062,0.017824947302081395,0.017880199652702867,0.04905858505878038,0.04338615932455413,-0.035701151539649256,-0.025948552987050743,2010-09-27,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,20,547,547,0.019156947406599872,0.002270147559591429,0.0949733480515094,0.06161137440758302,-0.06286867163941905,-0.045454545454545414,0.5118829981718465,0.45521023765996343,0.0018245782684469139,-0.008982307848470317,0.43902553335244066,0.6606430352670327,-0.006088761743651652,-1.4975263832485368,0.13425634587703403,0.017332369138152958,0.02510133934346468,0.025245709150251525,0.04172769888551509,0.0532456491659943,-0.037747098681548685,-0.02512157295787036,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,20,408,408,0.01271992314505467,0.00489568539886176,0.0890546801517373,0.05857052119145156,-0.06001545204959874,-0.04548225620665153,0.5245098039215687,0.5269607843137255,0.01644088423392354,0.0043591623196963525,3.2389675156851854,0.0011996323560504601,0.0047145609804868935,0.9434816079919559,0.34543461838470807,-0.0037209610888688694,0.008069588364246446,0.008005362164567775,0.058887003531270854,0.03016767662046644,-0.03295817828813214,-0.0270572737614666,2021-01-04,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
