date,gross_ret,net_ret,hs300_ret,turnover,satellite_w,n_hold,unselected_ew_ret,uni_ew_ret,gross_vs_hs300,net_vs_hs300,net_vs_unselected,net_vs_uni,cost,nav,bench
2024-09-02,-0.009265687299688942,0.0,0.0,0.36000000000000004,0.3,5,-0.01941563098319559,-0.01895756330273277,0.007721351695505994,0.007253351695505995,0.009681943683506649,0.009223876003043828,0.00046799999999999967,1.0,1.0
2024-09-03,0.0009950567055057166,0.0008390567055057167,0.0025780005029079067,0.12,0.3,5,0.004797885632469822,0.004668597203841906,-0.0015829437974021901,-0.00173894379740219,-0.0039588289269641055,-0.0038295404983361894,0.0001559999999999999,1.0008390567055057,1.002578000502908
2024-09-04,-0.006263671809032569,-0.006575671809032569,-0.006495728239892196,0.24,0.3,5,-0.006988058188601111,-0.006939835694564061,0.0002320564308596262,-7.994356914037357e-05,0.0004123863795685422,0.0003641638855314917,0.0003119999999999998,0.9942578675349485,0.9960655262723466
2024-09-05,0.0005304672304324099,0.0003744672304324099,0.0017197467446989911,0.12,0.3,5,0.0030630412818131365,0.0029466182149828334,-0.0011892795142665813,-0.0013452795142665811,-0.0026885740513807265,-0.0025721509845504234,0.000156,0.99463018452494,0.9977785067186603
2024-09-06,-0.007347369749209039,-0.007659369749209039,-0.008107447398330248,0.24,0.3,5,-0.010470469303665852,-0.010395226644072143,0.0007600776491212087,0.0004480776491212089,0.002811099554456814,0.0027358568948631047,0.0003119999999999998,0.9870119441779395,0.9896890699602543
2024-09-09,-0.012747350937564603,-0.012903350937564603,-0.01188176802005425,0.12,0.3,5,-0.009942836075133602,-0.01000435460156593,-0.0008655829175103526,-0.0010215829175103525,-0.0029605148624310008,-0.0028989963359986725,0.0001559999999999999,0.9742761826826436,0.9779298140190034
2024-09-10,0.0005165318426024166,0.00036053184260241664,0.0008780590347814421,0.12,0.3,5,0.002360578770286912,0.002263982244511928,-0.00036152719217902546,-0.0005175271921790255,-0.0020000469276844953,-0.0019034504019095114,0.000156,0.9746274402699897,0.9787884941275848
2024-09-11,-0.0048541243919199666,-0.0050101243919199664,-0.0030119015373893943,0.12,0.3,5,-0.0018243631781727384,-0.001953307788126064,-0.0018422228545305723,-0.001998222854530572,-0.003185761213747228,-0.0030568166037939024,0.0001559999999999999,0.9697444355584586,0.9758404795573429
2024-09-12,-0.004101426593555875,-0.004413426593555874,-0.004285826513225288,0.24,0.3,5,-0.003794081093822633,-0.003826672223650093,0.00018439991966941356,-0.00012760008033058622,-0.0006193454997332412,-0.0005867543699057814,0.0003119999999999998,0.965464539677612,0.9716581965573775
2024-09-13,-0.0009780927990005535,-0.0012900927990005535,-0.004169521036684776,0.24,0.3,5,-0.004433084935951561,-0.004249985878481939,0.003191428237684222,0.002879428237684222,0.0031429921369510077,0.002959893079481385,0.000312,0.9642190008272835,0.9676068472663644
2024-09-18,0.005513317185226881,0.005357317185226881,0.003723418903301967,0.12,0.3,5,0.0034289085686063643,0.0034832919340512577,0.0017898982819249138,0.001633898281924914,0.0019284086166205167,0.0018740252511756234,0.0001559999999999999,0.9693846278507378,0.9712096528924403
2024-09-19,0.00683725213239807,0.00652525213239807,0.007891964522851236,0.24,0.3,5,0.009742250913173569,0.009582871277550196,-0.0010547123904531656,-0.0013667123904531654,-0.0032169987807754985,-0.0030576191451521257,0.0003119999999999998,0.9757101069607346,0.9788744050173181
2024-09-20,0.0011543171492852133,0.0011543171492852133,0.0015688185210196437,0.0,0.3,5,0.0015885795680357908,0.001565003717091008,-0.0004145013717344304,-0.0004145013717344304,-0.00043426241875057755,-0.00041068656780579474,0.0,0.9768363858699302,0.9804100813136614
2024-09-23,0.0047608589124549456,0.004604858912454946,0.0036594870738808627,0.12,0.3,5,0.0012606972395178895,0.0013434993863507272,0.0011013718385740829,0.000945371838574083,0.003344161672937056,0.0032613595261042185,0.0001559999999999999,0.9813345796074137,0.9839978793333312
2024-09-24,0.04146451532475111,0.041308515324751105,0.04331009197407876,0.12,0.3,5,0.041481332713703606,0.041377620957386015,-0.0018455766493276488,-0.002001576649327652,-0.00017281738895250087,-6.91056326349096e-05,0.00015600000000000336,1.0218720541278348,1.0266149179895563
2024-09-25,0.014707889892824278,0.01464548989282428,0.014804697860234306,0.048,0.12,5,0.012166315023585214,0.012230131052014544,-9.680796741002792e-05,-0.00015920796741002684,0.002479174869239065,0.0024153588408097355,6.239999999999891e-05,1.0368378709683237,1.041813641669201
2024-09-26,0.04208093275468244,0.042018532754682446,0.04227135235789281,0.048,0.12,5,0.0400219882365861,0.04001833595045229,-0.00019041960321036777,-0.00025281960321036495,0.0019965445180963465,0.0020001968042301574,6.239999999999718e-05,1.0804042770109015,1.0858525132074592
2024-09-27,0.041304869130136125,0.04124246913013613,0.044668600332991026,0.048,0.12,5,0.049968857947417525,0.049432327446913324,-0.0033637312028549013,-0.0034261312028548985,-0.008726388817281397,-0.008189858316777196,6.239999999999718e-05,1.1249628170535906,1.1343560251404972
2024-09-30,0.08392820400521984,0.08386580400521984,0.08482622266273232,0.048,0.12,5,0.09629572880726346,0.09602973735763073,-0.0008980186575124754,-0.0009604186575124796,-0.012429924802043621,-0.012163933352410894,6.240000000000412e-05,1.219308728181767,1.230579161907877
2024-10-08,0.05896502575554044,0.05884022575554044,0.05929575100342732,0.096,0.12,5,0.06947982262666598,0.06899584935982968,-0.0003307252478868816,-0.0004555252478868829,-0.010639596871125541,-0.01015562360428924,0.0001248000000000013,1.291053129013683,1.3035472774823726
2024-10-09,-0.06756788505555035,-0.06769268505555034,-0.07051351423870533,0.096,0.12,5,-0.07049946741159005,-0.0702644990956916,0.0029456291831549825,0.002820829183154988,0.0028067823560397054,0.002571814040141257,0.00012479999999999436,1.203658276161377,1.2116295779707937
2024-10-10,0.011995305404038042,0.011932905404038043,0.010567282642378606,0.048,0.12,5,0.006018673046003313,0.006284814841772755,0.0014280227616594362,0.0013656227616594373,0.0059142323580347305,0.005648090562265288,6.239999999999891e-05,1.2180214165095982,1.224433210179077
2024-10-11,-0.02848700677265165,-0.028674206772651648,-0.0276705274934671,0.14400000000000002,0.12,5,-0.030494824059723463,-0.03033741230818572,-0.0008164792791845489,-0.0010036792791845474,0.0018206172870718143,0.0016632055355340729,0.00018719999999999848,1.183095618559084,1.1905524973729027
2024-10-14,0.019673329429028642,0.01954852942902864,0.01908212330471004,0.096,0.12,5,0.02187019859648077,0.021950949574401572,0.0005912061243186009,0.0004664061243185996,-0.0023216691674521305,-0.0024024201453729313,0.0001248000000000013,1.2062233980758412,1.213270766928503
2024-10-15,-0.024333557543218247,-0.024645557543218247,-0.026593888980664726,0.24,0.3,5,-0.02507652994572276,-0.024992097696116877,0.002260331437446479,0.0019483314374464794,0.00043097240250451405,0.0003465401528986306,0.0003119999999999998,1.1764953499085868,1.1810051788493205
2024-10-16,-0.0015340459363984865,-0.0020020459363984866,-0.0063293392841365925,0.36000000000000004,0.3,5,-0.007419422876086582,-0.007122356275769525,0.0047952933477381065,0.004327293347738106,0.005417376939688095,0.0051203103393710385,0.0004680000000000001,1.1741399521741105,1.1735301963760607
2024-10-17,-0.010541830907300294,-0.010853830907300294,-0.011318359041118442,0.24,0.3,5,-0.007931769983830037,-0.007963155475406767,0.0007765281338181478,0.00046452813381814805,-0.0029220609234702575,-0.0028906754318935267,0.0003119999999999998,1.161396035671707,1.1602477602678822
2024-10-18,0.028378068103103414,0.027910068103103414,0.036167972956809846,0.36000000000000004,0.3,5,0.03929116048769804,0.03881941411716757,-0.007789904853706432,-0.008257904853706432,-0.011381092384594626,-0.010909346014064156,0.00046799999999999967,1.1938106781219788,1.2022115698844502
2024-10-21,-0.0003286423178507185,-0.0004846423178507184,0.0025382945322496298,0.12,0.3,5,0.008247651037492133,0.00800138840123819,-0.0028669368501003482,-0.003022936850100348,-0.008732293355342851,-0.008486030719088909,0.0001559999999999999,1.1932321069478589,1.205263136938895
2024-10-22,0.0035832376834169484,0.002959237683416949,0.005737475837933825,0.48,0.3,5,0.006731893689361534,0.0065847868338887935,-0.002154238154516877,-0.0027782381545168764,-0.003772656005944585,-0.0036255491504718447,0.0006239999999999996,1.196763164363802,1.2121783050654342
2024-10-23,0.005970096295628901,0.005502096295628901,0.003899513754633155,0.36000000000000004,0.3,5,0.003731917378328501,0.0038166455506853047,0.002070582540995746,0.0016025825409957464,0.0017701789173004004,0.0016854507449435966,0.00046799999999999967,1.2033478705371932,1.2169052110391048
2024-10-24,-0.010676026394806654,-0.010676026394806654,-0.011168680307748202,0.0,0.3,5,-0.00967283019342998,-0.009670174799630872,0.0004926539129415479,0.0004926539129415479,-0.0010031962013766736,-0.0010058515951757822,0.0,1.1905008969092037,1.2033139857721762
2024-10-25,0.00582147491514668,0.00566547491514668,0.007021829940663693,0.12,0.3,5,0.00848604996766873,0.008462536677175718,-0.0012003550255170132,-0.001356355025517013,-0.0028205750525220506,-0.002797061762029038,0.0001559999999999999,1.1972456498771022,1.2117634519454905
2024-10-28,-0.0017779725026453616,-0.0019339725026453615,0.001955277256894483,0.12,0.3,5,0.004196620364479399,0.003961747745393152,-0.0037332497595398448,-0.0038892497595398447,-0.00613059286712476,-0.0058957202480385135,0.0001559999999999999,1.1949302097113281,1.2141327854638155
2024-10-29,-0.009306022543170533,-0.009618022543170533,-0.009966280598025845,0.24,0.3,5,-0.009796228880323625,-0.00977924883002061,0.0006602580548553116,0.00034825805485531186,0.0001782063371530921,0.0001612262868500771,0.0003119999999999998,1.1834373440168091,1.2020323974406204
2024-10-30,-0.006341870500046224,-0.006653870500046224,-0.008969031370703484,0.24,0.3,5,-0.005755467708254856,-0.0056687139149052684,0.0026271608706572597,0.00231516087065726,-0.0008984027917913681,-0.0009851565851409557,0.0003119999999999998,1.1755629051848027,1.1912513311593735
2024-10-31,-0.006066194642435795,-0.006534194642435795,0.0004090296910201907,0.36000000000000004,0.3,5,0.0037204164858971565,0.003361463841655516,-0.006475224333455986,-0.0069432243334559855,-0.010254611128332952,-0.00989565848409131,0.00046799999999999967,1.167881548347898,1.191738588323285
2024-11-01,0.0038450782213760434,0.0035330782213760428,-0.00026196083946306015,0.24,0.3,5,-0.003968940398497272,-0.0036982625604168686,0.0041070390608391035,0.003795039060839103,0.007502018619873315,0.007231340781792911,0.00031200000000000064,1.1720077652115128,1.1914263994822674
2024-11-04,0.012213289734319847,0.012057289734319847,0.014072317308986726,0.12,0.3,5,0.0160299915629169,0.015891806552373048,-0.0018590275746668793,-0.002015027574666879,-0.003972701828597054,-0.003834516818053201,0.0001559999999999999,1.1861390024075407,1.2081925298260854
2024-11-05,0.020545254145757127,0.020389254145757128,0.025302059422141587,0.12,0.3,5,0.02877588962486583,0.028456185889549495,-0.00475680527638446,-0.00491280527638446,-0.008386635479108704,-0.008066931743792367,0.0001559999999999999,1.2103234919798227,1.2387622890091325
2024-11-06,-0.006669303441381151,-0.006981303441381152,-0.005016451058795446,0.24,0.3,5,0.000736594837874025,0.0005447946676330953,-0.001652852382585705,-0.0019648523825857057,-0.007717898279255176,-0.007526098109014247,0.00031200000000000064,1.2018738564200795,1.2325480986128368
2024-11-07,0.032685530322949415,0.032685530322949415,0.030169870504388685,0.0,0.3,5,0.025496572192334786,0.025709151901134843,0.0025156598185607296,0.0025156598185607296,0.007188958130614629,0.006976378421814571,0.0,1.2411577407984582,1.2697339151384166
2024-11-08,-0.010823538180276232,-0.010948338180276232,-0.010046131707898032,0.096,0.12,5,-0.004152273105433722,-0.004460082931119136,-0.0007774064723782004,-0.0009022064723781999,-0.006796065074842509,-0.006488255249157095,0.00012479999999999956,1.227569126117129,1.256978000992951
2024-11-11,0.004335215349756497,0.004210415349756497,0.006599388359831204,0.096,0.12,5,0.011773210941424432,0.011425415420200041,-0.002264173010074707,-0.0023889730100747075,-0.007562795591667936,-0.007215000070443544,0.00012480000000000043,1.2327377020086197,1.2652732869812677
2024-11-12,-0.012832086407240425,-0.012956886407240426,-0.010986869649649456,0.096,0.12,5,-0.011241814172642738,-0.011491838502187962,-0.0018452167575909693,-0.0019700167575909706,-0.0017150722345976883,-0.001465047905052464,0.0001248000000000013,1.2167652596337712,1.251371894306021
